tracking_id	locus	FAP 0D NTX	FAP 1D NTX	FAP 2D NTX (a)	FAP 2D NTX (b)	FAP 2D NTX ©	FAP 3D NTX (a)	FAP 3D NTX (b)	FAP 3D NTX ©	FAP 4D NTX (a)	FAP 4D NTX (b)	FAP 5D NTX	FAP 6D NTX	FAP 7D NTX	FAP 10D NTX	FAP 14D NTX
Asgr2	chr11:70092643-70106186	0.0718016	0.001	0.001	1.02491	0.001	0.001	0.0457943	0.279271	0.110839	0.001	0.001	0.295397	0.001	0.001	0.001
Ash1l	chr3:88965811-89079375	4.13182	5.61347	6.08205	3.73732	10.4377	2.29869	2.93928	2.2612	10.7159	6.93572	5.76086	7.92123	2.25392	10.076	8.18081
Ash2l	chr8:25816869-25847670	10.8435	28.2876	21.5395	21.8397	19.8137	15.2378	14.7969	18.754	13.295	11.8728	14.3574	10.7026	15.4919	11.5886	13.1991
Asic1	chr15:99670717-99701128	0.378064	0.728759	0.741478	0.516156	0.287979	0.221887	0.535186	0.522894	0.712545	0.681504	0.969442	0.530042	0.001	0.91084	0.491455
Asic2	chr11:80880164-81968396	0.0941437	0.001	0.001	0.001	0.154342	0.001	0.001	0.001	0.0271772	0.356293	0.001	0.001	0.001	0.001	0.0610958
Asic3	chr5:24413450-24417834	0.144974	0.001	0.261086	0.348263	0.246482	0.150041	0.620788	0.416704	0.378034	0.475152	0.001	0.0669839	0.001	0.257183	0.113401
Asic4	chr1:75450509-75474340	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0270652	0.0271027	0.001	0.0452696	0.001	0.001	0.0692261	0.0203086
Asic5	chr3:81996921-82021233	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.044947	0.001	0.001	0.001	0.001	0.001	0.001
Asl	chr5:130011502-130024331	13.3621	11.3372	14.4531	14.5138	7.36164	19.7619	9.67771	13.0908	7.3673	11.9968	9.47242	8.71799	7.11112	6.09042	7.11508
Asmt	chrX:170672643-170678054	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asna1	chr8:85017930-85025278	53.9366	61.4828	50.404	68.7769	39.2298	67.0373	34.1135	71.1696	26.2143	39.8453	31.9888	28.168	78.8503	26.9729	29.2427
Asns	chr6:7675170-7693182	5.99554	56.7186	37.9162	46.3616	29.1478	20.0503	7.63838	22.6178	9.68307	7.06864	10.4639	5.26907	7.45358	6.80776	6.6615
Asnsd1	chr1:53344643-53352699	15.1681	29.6042	25.0008	22.2579	28.1955	16.5552	21.3842	12.5857	17.6426	13.6544	22.7299	19.2996	23.934	14.0897	14.2337
Aspa	chr11:73304987-73324637	6.23196	0.745899	1.69045	0.450917	0.399908	1.45887	2.89836	0.540209	1.31847	1.69639	2.37481	4.07366	3.25027	5.06008	7.66037
Aspdh	chr7:44465434-44467751	0.001	0.001	0.001	0.001	0.275847	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Aspg	chr12:112106682-112127573	0.199529	0.0887836	0.451929	0.482335	0.0638424	0.0518815	0.364776	0.0785962	0.183696	0.355458	0.262954	0.278495	0.389499	0.513935	0.294939
Asph	chr4:9449084-9669162	17.7127	21.5266	29.9935	15.5673	35.5191	10.107	18.5253	8.75012	25.2735	15.1306	27.6266	27.3323	17.5595	19.2972	27.1353
Asphd1	chr7:126946007-126949581	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.153653	0.13926
Asphd2	chr5:112385444-112392213	5.27933	2.23934	3.09902	1.74034	0.732866	1.97032	1.86392	3.31635	0.754154	2.18153	1.10626	0.836385	2.35137	1.88196	2.26391
Aspm	chr1:139454772-139494088	0.0784292	1.58869	3.60072	1.14934	6.14907	0.466007	0.566501	0.401448	1.38827	0.540447	0.638531	0.405984	0.388212	0.333362	0.0991671
Aspn	chr13:49544442-49567562	300.354	45.5558	137.726	30.2984	188.542	31.4741	425.604	37.8485	245.716	34.093	215.219	549.047	70.6393	430.746	534.448
Asprv1	chr6:86628173-86629704	0.001	0.16648	0.254681	0.001	0.321345	0.390749	0.121299	0.001	0.147133	0.206536	0.0822486	0.0870528	0.001	0.291586	0.220873
Aspscr1	chr11:120672972-120709446	19.222	31.6409	20.3186	23.4227	9.26551	21.972	18.4407	33.1886	11.1288	16.7053	11.4037	15.7596	13.0217	15.2321	14.692
Asrgl1	chr19:9111718-9135566	6.73859	7.29041	6.65523	5.57633	4.46004	6.50742	4.41677	5.1683	4.01912	3.49868	4.63933	3.33162	3.69055	4.94011	5.04511
Ass1	chr2:31470269-31520670	14.4096	22.4633	16.3866	16.2293	21.9356	43.4503	21.8376	88.8785	3.64517	20.2109	7.31035	6.11003	0.001	2.22036	1.99055
Aste1	chr9:105395391-105405756	1.685	1.84937	2.68178	0.816621	2.25165	1.06422	2.31987	1.74285	3.60554	1.41024	1.43456	1.65374	0.558026	3.19183	2.20959
Astl	chr2:127338638-127357651	0.0386744	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.190556	0.001	0.001	0.001	0.001	0.0228026
Astn1	chr1:158362303-158691786	0.0240244	0.001	0.001	0.001	0.00772738	0.001	0.00780102	0.001	0.0191953	0.0297762	0.0159798	0.0508827	0.001	0.0573803	0.115084
Astn2	chr4:65380802-66404483	3.65855	1.12475	2.99135	3.05307	1.78008	5.6694	4.92756	4.38194	2.81754	4.81236	1.82154	1.63594	2.89948	2.24213	3.3934
Asun	chr6:146549631-146577835	5.24264	14.3762	13.59	10.6968	10.3194	6.05002	7.64855	5.8779	8.94477	5.88988	9.13687	9.01878	8.51818	8.17438	8.74209
Asxl1	chr2:153346138-153404007	4.08517	7.32898	8.07603	5.61419	6.70217	6.55912	6.51225	7.01671	8.14486	7.39423	6.78145	7.00218	5.17597	7.02721	7.10594
Asxl2	chr12:3426856-3506849	1.86327	2.59151	2.47328	0.993979	3.66722	1.00463	1.88353	0.992927	4.13005	2.52246	2.11923	3.18842	0.888868	4.28104	3.98491
Asxl3	chr18:22345088-22530227	0.124553	0.0693043	0.0402534	0.001	0.0660614	0.0345864	0.0571791	0.0931523	0.140883	0.121209	0.0781355	0.113852	0.001	0.245473	0.122959
Asz1	chr6:18050963-18109061	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atad1	chr19:32672562-32712298	21.3971	27.8881	24.2714	14.0278	27.0416	6.33668	19.3432	6.47589	18.7526	7.81809	17.6746	21.0596	13.0041	18.5474	29.1864
Atad2	chr15:58094046-58135082	1.1956	17.0668	9.6967	3.59165	14.9785	1.08749	1.72101	1.11187	4.33008	1.58532	2.69337	2.49698	0.743321	3.11297	2.59303
Atad2b	chr12:4917352-5047410	1.56673	2.44453	2.57294	1.17045	3.32639	0.854369	2.56897	0.812143	4.44872	1.74423	2.56782	4.19418	1.77256	4.9225	5.04413
Atad3a	chr4:155740639-155761098	8.91657	33.6589	19.6598	19.7732	14.3334	16.1946	8.94782	13.6992	8.86855	8.22723	5.58892	6.49991	7.00272	7.26885	7.25105
Atad5	chr11:80089399-80135791	0.262024	3.19583	1.82874	0.61006	2.52844	0.149702	0.502775	0.377991	0.789886	0.285398	0.570412	0.688357	0.311831	0.625117	0.555468
Atat1	chr17:35897597-35910068	3.7639	2.64502	2.33225	1.02689	4.10198	4.12599	3.73457	3.80494	3.16342	4.84743	2.3645	2.05638	0.861695	3.48416	3.0696
Atcay	chr10:81204512-81230779	0.04844	0.001	0.001	0.001	0.0310673	0.001	0.001	0.001	0.0192136	0.0598675	0.0640923	0.001	0.001	0.0982371	0.0287767
Ate1	chr7:130391493-130520369	4.10513	7.14649	6.47047	3.38853	5.44431	2.4515	4.2491	1.23525	6.0219	3.12628	4.5089	6.08946	4.00486	7.16135	9.07268
Atf1	chr15:100227858-100261248	17.5584	29.1595	24.0149	15.16	29.2345	6.95728	20.8074	6.18695	15.2356	9.83791	14.2405	17.0614	12.1247	15.4004	23.166
Atf2	chr2:73816521-73892628	8.64199	7.0065	8.7909	5.57578	11.984	3.99822	8.87427	4.07926	10.1927	6.86637	9.986	13.4706	5.11274	11.4749	15.3193
Atf3	chr1:191170296-191183333	174.054	80.7098	146.731	91.5841	158.605	116.006	124.1	94.2973	347.664	42.7703	180.968	127.451	192.206	579.36	600.883
Atf4	chr15:80255183-80257541	172.154	187.067	194.782	184.837	115.407	102.337	129.723	82.1102	193.88	68.815	120.893	152.534	98.0313	157.761	190.5
Atf5	chr7:44812255-44816658	228.702	124.157	57.8316	88.3809	30.577	55.6858	81.0551	95.3377	38.1427	98.1426	44.2156	48.6958	34.2592	82.152	112.331
Atf6	chr1:170704456-170867771	4.16333	8.72686	8.82493	7.97789	12.072	3.58985	4.40642	3.45085	8.65185	5.8362	8.11635	7.16137	5.147	7.70105	7.57334
Atf6b	chr17:34647145-34655074	14.0568	26.6685	26.2356	21.9153	14.9761	21.9134	13.4692	17.8731	10.9374	15.4118	11.3379	9.42726	3.61005	12.009	8.95275
Atf7	chr15:102536643-102625421	3.14096	2.6701	3.5809	4.37444	7.31184	7.13127	2.92879	4.82648	6.56542	10.4644	4.14217	4.96322	3.84152	6.80748	4.61844
Atf7ip	chr6:136518850-136607379	4.34039	11.1141	10.6934	9.37005	16.8095	12.9642	7.04981	11.6917	10.0177	17.9811	11.768	11.2917	5.64467	9.99213	6.67676
Atf7ip2	chr16:10192905-10243051	0.001	0.0471007	0.65841	0.001	1.253	0.001	0.001	0.166832	0.111351	0.001	0.001	0.001	0.001	0.0639138	0.001
Atg10	chr13:90935348-91223987	9.91606	7.08871	6.34462	3.85618	5.31705	4.15753	5.69728	2.6125	6.36016	3.02667	5.05815	6.91902	3.31858	5.83734	7.83871
Atg12	chr18:46732416-46741579	10.9838	11.0644	12.3134	8.51263	11.1332	6.69773	11.6022	6.21505	10.9356	7.21306	11.1178	12.5418	6.82982	9.75202	14.2444
Atg13	chr2:91674611-91710592	7.16538	7.32722	7.55784	11.4464	6.06759	10.7798	7.752	9.76294	6.51325	9.9546	9.87387	8.57037	8.82528	8.21522	8.42117
Atg14	chr14:47540892-47568434	3.31559	1.3532	1.16516	1.31901	1.54438	1.29631	2.88118	1.73881	1.99127	2.13343	2.67131	3.99053	1.38492	3.34075	4.2434
Atg16l1	chr1:87756010-87792428	5.46305	5.79224	5.59743	8.51032	3.73351	4.84926	7.05843	5.11652	8.66026	4.55829	4.54681	6.08992	2.70923	7.67791	8.40175
Atg16l2	chr7:101289615-101302088	4.92959	3.36095	2.66923	2.477	1.75146	3.86659	3.94374	4.14061	2.96022	2.98923	1.85639	3.33572	4.89617	5.18015	4.56464
Atg2a	chr19:6241667-6262304	3.49343	4.93438	5.18659	5.31595	3.59887	6.89268	3.46364	7.84255	3.47093	5.74435	2.77168	3.11066	1.92051	3.67024	3.1794
Atg2b	chr12:105613539-105685241	1.9597	4.06141	4.39517	3.89971	4.84587	2.39161	2.30649	1.74453	4.42993	4.29596	3.81537	3.2321	3.56406	4.31115	3.44832
Atg3	chr16:45158828-45188538	24.2384	19.4668	21.2774	20.0938	20.7032	11.3964	19.2181	7.57586	22	8.98287	16.853	18.8746	13.6677	23.1345	28.2219
Atg4a	chr3:103643952-103646068	7.82117	6.18639	7.96678	6.02746	7.37565	3.00565	6.24543	1.44875	8.20141	3.4237	7.37735	7.62845	6.21457	6.80114	7.87998
Atg4b	chr1:93755032-93789529	12.4297	13.9672	13.678	19.2437	8.68141	19.5999	13.1815	18.5937	10.571	12.7832	13.0644	11.8788	6.78482	11.7924	14.3772
Atg4c	chr4:99193933-99259787	3.90275	4.09725	3.88707	2.58835	4.5212	1.9164	3.42772	2.04481	4.16003	1.97389	5.04517	4.54024	5.6998	5.61703	6.32797
Atg4d	chr9:21265298-21274368	3.23699	2.78115	3.32004	4.42915	0.759025	2.24249	2.45794	1.78351	1.89862	2.9554	1.37295	2.45676	1.16929	2.33998	2.10236
Atg5	chr10:44268357-44364291	14.7887	15.9373	15.5941	12.1704	13.2251	6.33565	12.9272	6.214	10.7074	6.45706	12.3425	12.9613	10.9799	12.4121	13.4451
Atg7	chr6:114643096-114860614	6.28115	8.66733	7.65613	9.4707	5.62788	9.31186	8.13435	11.0086	6.41822	8.029	6.91694	6.69735	5.86305	5.26166	6.45292
Atg9a	chr1:75180865-75191923	8.83724	11.7552	14.3137	14.6244	10.8371	18.6755	10.4896	19.6646	9.18808	15.9667	11.946	11.7603	9.98969	10.8342	8.0037
Atg9b	chr5:24384180-24392143	0.001	0.0305171	0.0620961	0.001	0.0291904	0.001	0.0441755	0.001	0.0722469	0.001	0.0301187	0.0319062	0.001	0.0153933	0.0270492
Athl1	chr7:140941580-140947658	11.7432	16.0219	13.2116	17.6262	5.59644	15.8269	14.8542	19.8129	10.7217	15.6789	12.0924	13.7409	11.145	12.9928	14.3571
Atic	chr1:71557155-71579403	21.268	94.4219	61.4186	77.9511	50.3299	36.7565	24.8196	43.5288	18.116	29.708	21.7534	17.1934	27.62	17.1344	21.2911
Atl1	chr12:69893104-69964085	1.64031	0.816169	1.00576	0.933423	1.79112	0.953726	1.72306	1.03926	1.26984	2.11614	1.27221	1.52709	4.06132	1.6004	1.99792
Atl2	chr17:79848391-79896123	9.66788	9.80023	10.9246	10.5167	12.0105	2.9498	7.55872	2.84415	9.89867	3.34198	6.33794	6.64265	3.77018	8.86503	13.0023
Atl3	chr19:7494039-7538609	16.2787	42.1611	32.3577	32.7028	33.5566	9.03553	15.3065	8.84112	20.588	17.9974	25.434	21.6642	16.5749	22.7406	30.5254
Atm	chr9:53437121-53536671	0.830607	4.90608	3.77689	2.20502	4.10909	0.473248	1.00592	0.716967	2.22614	1.16686	1.63237	2.19519	0.760264	2.19364	2.36067
Atmin	chr8:116943392-116960445	1.26052	2.15479	2.36402	3.15431	1.94324	2.03295	2.56809	2.13878	2.39432	3.4323	2.79533	2.32873	2.75344	2.57929	2.44703
Atn1	chr6:124742543-124756487	17.1006	26.4741	27.4788	22.6864	26.7834	38.9662	14.9011	34.9396	15.7534	34.646	12.3449	12.0918	9.72599	15.8578	9.87035
Atoh1	chr6:64729145-64731235	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atoh7	chr10:63100155-63100605	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atoh8	chr6:72206176-72235577	2.53949	17.944	10.5937	12.1538	8.21373	9.06457	3.87535	5.00738	1.81287	3.68924	0.924422	1.19647	2.28433	1.46442	1.98063
Atox1	chr11:55446642-55461138	465.447	232.558	227.664	315.323	130.195	235.569	174.966	333.551	121.407	123.679	148.01	157.157	106.513	152.146	189.348
Atp10a	chr7:58658201-58829426	6.34594	14.8003	14.0452	13.0778	10.7761	5.54281	7.63107	6.72533	9.17415	8.16809	5.49779	5.39764	5.24637	9.35546	9.89005
Atp10b	chr11:43149876-43262286	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atp10d	chr5:72203328-72298771	0.792139	0.720956	0.574604	0.634325	1.05114	0.22709	0.694813	0.344087	0.958136	0.298693	0.288369	0.570379	0.416378	1.39807	1.79707
Atp11a	chr8:12757015-12868728	9.11717	12.7342	14.4138	10.4678	18.9359	8.38716	8.6256	7.91727	14.9255	16.788	14.1575	13.6571	8.34312	14.263	13.394
Atp11b	chr3:35754137-35856276	6.30212	5.9481	6.76596	4.74455	7.73655	1.75545	5.79421	1.83015	8.98548	3.73982	7.18732	11.0667	4.88498	10.6765	13.0653
Atp11c	chrX:60223289-60403981	2.22998	4.04678	3.17722	1.80729	4.0876	0.598639	2.40689	0.744814	3.19755	1.67153	2.48678	4.05955	0.546487	4.20107	5.18519
Atp12a	chr14:56365067-56388551	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atp13a1	chr8:69791162-69807748	8.02695	20.0465	21.3236	25.2713	12.3952	24.7785	14.9348	27.7233	9.23614	14.9329	8.73651	9.47765	6.89572	11.0326	9.51788
Atp13a2	chr4:140986872-141007701	5.41992	3.82045	2.22049	2.4237	2.65809	11.3785	8.76977	9.79259	2.5845	8.94357	1.72094	3.39792	2.06323	3.96904	2.36811
Atp13a3	chr16:30312423-30388530	4.57687	8.15937	10.1257	3.7282	13.8504	2.11916	5.32604	2.3919	10.0769	4.6016	6.44131	8.88672	2.30986	9.63068	10.5646
Atp13a4	chr16:29396037-29544864	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atp13a5	chr16:29231913-29378732	0.001	0.001	0.001	0.001	0.001	0.001	0.0125883	0.138382	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atp1a1	chr3:101576218-101604707	54.9478	130.699	158.767	140.578	107.347	91.743	53.8987	93.265	79.1752	60.1164	65.8035	49.3139	46.6224	47.7007	48.99
Atp1a2	chr1:172271708-172298064	30.8773	1.89191	1.76108	2.70751	1.6174	4.92587	4.99765	4.68695	2.04097	7.51946	3.62202	4.71352	11.7382	12.4851	20.2744
Atp1a3	chr7:24978168-25005895	0.250843	1.71308	0.435721	0.99661	0.395024	8.31799	1.5794	5.66067	1.71999	0.86458	2.11339	1.37527	0.476201	0.216023	0.230471
Atp1a4	chr1:172223507-172258424	0.0640876	0.0171714	0.001	0.093251	0.0164355	0.0200471	0.001	0.001	0.001	0.073902	0.001	0.0179533	0.001	0.00865649	0.0304354
Atp1b1	chr1:164437266-164458355	2.95555	0.858022	1.33632	0.822788	3.36663	1.41661	2.34384	1.16243	1.75944	1.276	0.946862	1.31937	0.640238	1.82751	2.83847
Atp1b2	chr11:69599749-69605960	2.56368	0.326347	0.539795	0.443176	1.95439	3.0501	1.97091	3.56177	2.55699	3.16388	2.17458	2.98568	3.14014	2.44484	4.82505
Atp1b3	chr9:96332674-96364299	73.1328	108.132	72.75	60.5445	63.6207	35.6961	52.0273	30.3514	39.4113	35.5379	37.717	35.6442	77.0531	43.0644	66.8314
Atp1b4	chrX:38316266-38336713	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0179772	0.001	0.0305981	0.001	0.0147651	0.0129709
Atp2a1	chr7:126445859-126463073	0.311891	0.0348137	0.106279	0.001	0.0666487	1.09744	1.15971	0.431034	2.63643	8.34843	0.171812	0.618786	0.271138	0.719516	5.04433
Atp2a2	chr5:122453512-122502225	43.0383	88.6564	81.5451	80.2558	97.4509	31.7235	42.1397	33.5527	79.0056	53.7792	69.9772	60.2736	40.5109	75.9154	77.387
Atp2a3	chr11:72961168-72993043	1.17025	0.128808	0.106558	0.142117	0.344663	0.733256	0.378953	0.540001	0.465244	1.10587	0.180939	0.164292	0.0763881	0.377114	2.06926
Atp2b1	chr10:98915151-99026143	9.89351	12.2899	10.1465	4.35746	16.7549	2.7878	8.98209	2.42029	11.6329	7.60207	6.98442	9.14807	5.42527	12.0026	20.3821
Atp2b2	chr6:113745667-114042080	0.001	0.001	0.001	0.001	0.001	0.001	0.00815388	0.001	0.001	0.0605679	0.001	0.0176962	0.001	0.00855594	0.03754
Atp2b3	chrX:73503085-73571005	0.001	0.001	0.001	0.001	0.0378765	0.001	0.001	0.001	0.001	0.001	0.0521395	0.001	0.001	0.0133334	0.001
Atp2b4	chr1:133702673-133753747	12.8585	4.51435	6.65724	5.61955	11.9601	4.59129	5.82492	5.27803	7.22523	13.368	5.74712	4.07493	9.33971	10.9495	18.0951
Atp2c1	chr9:105411361-105521257	10.114	16.6254	16.086	17.7574	20.5347	5.54144	11.83	5.90091	15.394	6.81799	11.8195	14.0306	9.13578	15.4634	16.9351
Atp2c2	chr8:119700008-119757718	0.0278559	0.037279	0.001	0.001	0.001	0.001	0.0360065	0.109923	0.001	0.114661	0.0367978	0.001	0.001	0.001	0.0165168
Atp4a	chr7:30712231-30725534	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0409632	0.001	0.0213604	0.001	0.001	0.001	0.017512	0.001
Atp4b	chr8:13386208-13396778	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atp5a1	chr18:77773767-77782868	160.428	337.777	319.854	415.498	253.25	267.732	168.935	293.696	143.23	164.443	193.635	135.251	193.022	107.501	138.291
Atp5b	chr10:128083306-128090388	276.805	595.561	529.441	626.059	468.725	472.324	231.672	444.875	259.449	272.867	272.186	170.539	309.66	169.165	238.994
Atp5c1	chr2:10056030-10080510	209.85	242.911	193.919	266.497	140.798	252.217	141.736	204.394	103.905	136.823	159.289	114.5	283.856	98.789	127.345
Atp5d	chr10:80142314-80145818	190.855	190.055	122.545	168.604	92.878	275.1	172.719	335.681	58.7583	171.378	60.0031	64.8314	70.2796	62.8197	49.9078
Atp5e	chr2:174461074-174464101	937.124	489.832	399.132	592.077	177.52	674.685	396.708	645.315	233.072	353.233	338.14	239.827	586.816	242.766	218.488
Atp5f1	chr3:105942862-105960248	144.73	125.826	130.69	134.166	80.67	120.136	87.0049	69.484	68.1416	57.1267	78.4853	65.5663	153.612	60.1468	76.7364
Atp5g1	chr11:96072792-96075694	102.201	206.782	158.76	167.743	94.7091	169.826	86.2415	164.377	71.9404	105.458	84.7641	67.8014	34.4713	62.8447	59.6774
Atp5g2	chr15:102662867-102671047	180.217	484.427	409.577	488.993	157.205	564.395	305.778	446.468	167.362	235.195	238.153	202.462	100.629	111.144	120.301
Atp5g3	chr2:73908449-73911294	242.757	385.048	355.747	409.439	228.399	351.879	282.647	371.254	161.864	165.89	195.589	138.765	152.228	133.812	188.377
Atp5h	chr11:115415696-115419919	622.185	290.968	253.547	440.175	299.754	625.692	314.605	447.239	211.559	278.226	265.932	161.8	984.059	195.039	255.145
Atp5j	chr16:84827870-84835574	191.296	146.66	144.065	168.687	117.715	125.235	128.53	111.26	103.152	96.1036	126.474	94.7305	221.975	105.408	139.526
Atp5j2	chr5:145183705-145191592	627.328	318.22	259.406	364.995	249.125	401.25	278.766	399.11	189.809	200.3	213.957	148.795	281.244	169.998	197.262
Atp5k	chr5:108433252-108434378	749.209	546.155	439.164	553.311	138.237	419.388	259.532	253.429	296.905	152.64	255.846	188.175	200.969	157.91	201.561
Atp5l	chr9:44913247-44920742	724.411	420.015	342.375	444.302	293.282	445.251	388.128	437.72	202.506	221.583	244.61	220.409	469.812	215.359	259.524
Atp5o	chr16:91925222-91931630	298.011	261.297	250.962	407.954	167.586	394.914	185.241	397.418	135.425	193.202	183.519	116.146	224.37	103.987	119.673
Atp5s	chr12:69724961-69744658	3.79865	3.61733	2.98688	1.40596	3.24337	1.21327	3.26433	0.663684	2.38444	0.855244	3.40426	3.51286	7.35002	3.48957	4.1512
Atp5sl	chr7:25619492-25625550	2.57699	3.43165	2.55581	2.50496	2.26153	7.18843	5.94685	5.56588	3.47994	4.83278	3.69183	4.44513	2.19926	3.68293	3.42471
Atp6ap1	chrX:74297096-74304721	87.4488	98.0679	94.8488	106.42	60.0796	89.3444	65.5858	75.9685	71.2713	80.0525	80.5631	67.9518	124.072	75.8772	100.882
Atp6ap1l	chr13:90883448-90905355	0.172403	0.001	0.001	0.001	0.001	0.264366	0.0547424	0.467194	0.001	0.001	0.111019	0.117446	0.001	0.001	0.001
Atp6ap2	chrX:12587758-12617051	39.7669	22.0265	25.275	16.8588	16.7022	6.95475	27.6422	6.87114	29.9052	12.9792	27.5693	39.089	14.6844	41.4403	61.1305
Atp6v0a1	chr11:101009451-101063717	7.42208	9.9809	7.63803	10.1926	10.2352	14.1471	9.58302	14.0621	7.54309	11.0752	6.02869	7.26513	9.19963	10.7825	10.7573
Atp6v0a2	chr5:124712207-124722146	11.0934	12.6976	17.8854	21.3267	15.2587	15.1084	9.31255	17.421	16.0039	17.0614	18.3201	12.7914	17.6209	16.0422	15.0629
Atp6v0a4	chr6:38048482-38124586	0.764295	0.522491	0.334671	0.19845	0.31488	0.341353	0.431169	0.366298	1.1343	6.31534	0.396742	0.802287	0.177908	2.74375	0.955196
Atp6v0b	chr4:117884329-117887329	108.727	46.247	41.0051	53.5514	34.0138	70.5233	82.5918	71.9466	50.2495	49.903	42.9156	54.8006	68.2189	62.9867	67.1259
Atp6v0c	chr17:24163865-24169429	109.696	114.897	85.3468	0.00553522	91.206	233.718	133.414	194.857	8.40744	170.562	7.0338	18.6779	34.54	40.7642	0.001
Atp6v0c-ps2	chr17:24163864-24169395	1.92518	51.4258	59.1287	131.691	0.00106536	26.0678	36.2331	33.9291	78.945	0.0164354	87.6288	86.7966	44.0642	53.7544	76.9818
Atp6v0d1	chr8:105524469-105566040	59.4578	55.9286	67.5696	108.657	52.384	114.389	64.7565	124.66	59.1457	68.1097	71.1989	55.0484	70.6081	55.5856	53.4968
Atp6v0d2	chr4:19876837-19922566	0.365597	0.001	0.347321	0.264769	0.257143	3.13366	1.15475	0.748043	3.85853	0.510634	0.962223	2.39469	2.09155	0.906929	0.194215
Atp6v0e	chr17:26676395-26699646	176.587	103.236	103.918	126.261	76.4075	168.734	135.364	110.616	72.3763	84.1865	101.335	77.8257	177.904	86.5589	115.831
Atp6v0e2	chr6:48537568-48541800	12.0548	4.63663	1.18137	0.741544	0.492291	3.19567	4.76028	1.69435	0.925201	1.77156	0.673513	0.784337	3.13525	4.06967	7.27164
Atp6v1a	chr16:44085403-44139019	8.9251	22.6219	22.9537	19.653	20.2812	8.69399	14.5534	8.22962	21.9049	11.0258	16.5513	20.3404	10.7987	18.8061	21.6957
Atp6v1b1	chr6:83743016-83758810	0.146233	0.0645998	0.131653	0.001	0.186447	0.001	0.125219	0.191029	0.228734	0.0399358	0.127608	0.001	0.001	0.324179	0.171541
Atp6v1b2	chr8:69088735-69113717	21.3072	23.7111	27.1562	28.8391	17.495	29.0036	29.6358	25.0627	33.4474	20.7076	25.3739	24.8847	23.0723	25.7191	32.6243
Atp6v1c1	chr15:38661903-38692444	13.2623	16.9054	14.2816	13.768	12.0872	10.687	13.3208	7.83365	13.0765	9.13062	11.9833	14.2283	13.5814	13.1653	17.0793
Atp6v1c2	chr12:17284720-17324730	0.001	0.0810714	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0405822	0.001
Atp6v1d	chr12:78842981-78861638	31.6448	25.0131	24.9607	26.8294	26.7322	24.5545	28.2305	18.6248	24.8861	20.0185	23.4565	25.8735	57.1742	25.0496	30.1075
Atp6v1e1	chr6:120795243-120822685	75.7559	52.5627	42.9592	52.9691	36.0181	62.886	53.4155	48.6354	44.8414	44.8833	45.052	49.8343	92.8244	45.6476	56.6285
Atp6v1e2	chr17:86944108-86947887	0.001	0.001	0.137981	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.133516	0.001	0.001	0.134044	0.001
Atp6v1f	chr6:29467782-29470509	182.276	60.6698	50.0069	61.6936	35.4287	76.7014	91.6202	61.8376	54.9333	57.1118	65.1475	62.2454	96.276	66.9473	72.4008
Atp6v1g1	chr4:63544764-63550701	176.441	75.4342	51.9636	53.9617	42.2871	63.8267	96.7422	55.2151	55.4975	60.5698	58.0355	50.8984	84.3988	63.7446	84.2683
Atp6v1g2	chr17:35236595-35238768	0.584898	0.256447	0.348758	0.93027	0.536457	0.802742	1.74442	0.304003	1.00712	0.636559	1.09809	0.625792	1.25764	1.02631	0.567006
Atp6v1g3	chr1:138273737-138289462	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
