tracking_id	locus	Endothelium 0D NTX	Endothelium 2D NTX (a)	Endothelium 2D NTX (b)	Endothelium 2D NTX ©	Endothelium 3D NTX (a)	Endothelium 3D NTX (b)	Endothelium 3D NTX ©	Endothelium 4D NTX	Endothelium 5D NTX	Endothelium 6D NTX	Endothelium 7D NTX	Endothelium 10D NTX (a)	Endothelium WT 10days (b)	Endothelium 14D NTX
Armc3	chr2:19199117-19310243	0.0623861	0.0558899	0.001	0.001	0.0188559	0.0248203	0.0751903	0.001	0.0729657	0.001	0.001	0.0209937	0.0160373	0.0355266
Armc4	chr18:7088232-7297901	0.001	0.001	0.0385294	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Armc5	chr7:128237356-128245100	6.13959	7.23591	8.52207	8.32832	9.45021	10.0123	10.6841	7.54092	5.04617	5.64316	3.39244	5.09658	10.9603	4.40186
Armc6	chr8:70220192-70234422	3.14018	7.2313	7.52737	1.87179	3.65809	1.22608	3.68195	2.1292	3.12387	4.25926	0.400732	2.64844	2.10621	2.17873
Armc7	chr11:115475676-115490466	4.15312	3.82704	5.26282	3.8831	4.90969	4.18585	5.72087	5.19202	4.43313	4.15572	2.86622	3.96072	5.55292	3.77524
Armc8	chr9:99478390-99568899	8.62279	9.5965	9.0788	5.86546	5.10928	8.33705	4.86618	8.36409	9.82464	8.25333	8.46009	9.02142	6.66548	11.4574
Armc9	chr1:86154779-86278284	1.42584	1.40947	1.65905	2.22694	1.52103	1.38056	1.55958	2.05306	2.21954	1.92735	2.76455	2.37792	1.27595	1.73822
Armcx1	chrX:134717937-134721912	6.63126	8.21688	8.47835	6.31005	3.00341	6.50031	2.91729	6.2742	7.60297	6.48836	6.41394	10.4325	6.00566	11.0398
Armcx2	chrX:134804141-134809221	5.21115	9.51197	15.8937	7.91838	7.10794	6.26109	7.84278	8.25237	21.9151	11.4721	12.6865	14.8538	13.0062	10.9589
Armcx3	chrX:134756567-134761456	14.8698	15.6207	12.9587	10.8387	7.23437	9.84554	4.9288	10.4319	16.345	14.1332	15.6118	16.6228	9.40678	16.9551
Armcx4	chrX:134686518-134697772	0.61696	1.88698	2.28073	2.27813	0.476222	1.52298	0.67153	1.11545	1.53576	1.10331	1.03728	2.22127	1.05442	1.77867
Armcx5	chrX:135742691-135747326	3.23064	2.97436	2.66186	2.02393	1.73148	1.25697	1.27984	1.66935	3.2567	2.41165	3.97547	2.69016	1.99096	3.20805
Armcx6	chrX:134748454-134751419	2.43575	2.00887	2.79711	1.66374	1.83466	2.87888	1.59558	1.37202	4.11705	4.34962	1.26015	4.88035	4.92483	3.97838
Arnt	chr3:95434389-95497239	15.6834	15.1579	16.7778	19.9473	16.6126	15.8499	15.4525	18.8016	16.8877	16.1307	21.488	19.053	18.9436	21.085
Arnt2	chr7:84246278-84409959	0.104255	0.001	0.021917	0.110166	0.0904231	0.0449303	0.0453499	0.243547	0.563399	0.0603296	0.154584	0.0202341	0.0580048	0.10801
Arntl	chr7:113207464-113314126	23.8568	9.28581	9.03515	7.59697	7.92174	8.88699	4.38991	9.10437	16.087	15.7639	14.6547	18.0358	12.7565	10.7865
Arntl2	chr6:146805529-146832646	1.05877	4.57212	1.29487	0.647209	0.53614	0.583727	0.758093	0.543337	2.31841	0.609662	0.460876	0.814973	0.701051	0.754944
Arpc1a	chr5:145083868-145108756	71.2352	75.2814	72.0007	52.0537	78.7609	74.5698	100.474	82.9344	77.606	83.9014	55.6639	76.233	83.4804	70.3484
Arpc1b	chr5:145114255-145128186	224.464	389.668	337.963	251.546	250.343	202.358	266.845	228.924	216.961	218.159	106.468	184.961	217.203	162.919
Arpc2	chr1:74236549-74268213	238.981	325.363	257.052	180.925	332.891	179.763	227.625	188.6	250.678	260.857	331.162	238.655	229.548	197.273
Arpc3	chr5:122391927-122406178	456.189	600.853	562.376	271.716	500.725	315.608	416.939	319.723	571.414	566.47	654.343	425.762	366.298	360.984
Arpc4	chr6:113378112-113390447	92.1261	96.2628	103.617	70.661	148.392	85.9429	152.377	81.4653	91.5565	100.097	62.0727	75.8327	82.5972	51.1363
Arpc5	chr1:152766541-152775580	122.554	164.978	139.929	89.1126	134.132	112.519	104.804	97.8296	141.553	111.523	126.343	109.178	87.7682	100.205
Arpc5l	chr2:39008138-39015872	37.3914	31.7624	31.4335	14.2884	37.4066	30.5841	26.2169	23.2329	40.9021	39.0024	60.8977	33.4625	29.5069	25.6442
Arpp19	chr9:75037613-75060313	40.5307	24.2173	20.964	12.0043	24.9742	16.8203	13.1421	17.9483	27.0676	26.3289	30.4915	23.7638	13.6289	20.558
Arpp21	chr9:112065090-112234841	0.027504	0.001	0.161356	0.001	0.101589	0.148945	0.192311	0.167875	1.04617	0.001	0.230553	0.0964468	0.001	0.001
Arr3	chrX:100605496-100618493	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Arrb1	chr7:99535485-99606771	16.1764	16.4307	21.931	25.4694	20.5321	21.8171	28.1294	43.7775	19.2782	18.2765	24.0777	30.7239	27.6861	25.5624
Arrb2	chr11:70432579-70440828	6.39817	21.0171	14.9863	7.84618	46.3801	16.9867	25.4189	9.57213	11.5086	8.98497	8.44364	10.3636	9.61899	7.56182
Arrdc1	chr2:24925351-24935281	12.4151	14.0926	13.874	12.4675	22.8697	35.2995	25.0151	15.8775	11.849	16.6137	5.67378	19.5046	23.7133	19.7411
Arrdc2	chr8:70835137-70839720	5.1682	2.36585	2.16369	2.54284	4.6909	5.05139	4.97951	5.29925	1.67708	2.88878	5.06074	5.02156	5.73208	5.1691
Arrdc3	chr13:80883421-80896043	14.3304	18.6584	17.7869	19.5899	13.0484	10.7759	11.922	18.0315	21.5252	9.97149	21.9391	12.4845	7.20582	18.4592
Arrdc4	chr7:68736993-68749238	23.9905	22.3479	26.5005	30.7311	28.8684	31.1112	36.0723	35.2339	32.813	30.3234	29.1712	31.9776	41.868	33.3173
Arrdc5	chr17:56294110-56300286	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Arsa	chr15:89472475-89477424	23.1848	37.2882	41.5135	24.1714	24.3063	22.2128	35.0291	29.8336	35.3613	33.381	10.8794	28.3411	28.1444	27.3097
Arsb	chr13:93771678-93943016	2.97866	4.24693	5.87405	4.32391	7.41322	4.65729	6.96579	6.52131	4.99347	7.10178	7.71138	7.44443	6.1363	7.64246
Arsg	chr11:109473373-109573329	0.783491	0.853379	1.09918	0.987823	1.56489	0.382587	2.39268	1.95448	4.42577	2.39716	0.783165	2.35288	1.13212	1.76391
Arsi	chr18:60912239-60917768	2.81897	1.00548	0.654903	1.30945	0.779636	1.0123	1.23558	2.2353	1.85135	1.62571	0.407978	1.72346	2.04582	1.95153
Arsj	chr3:126363851-126440374	0.0740406	0.001	0.108611	0.106278	0.0149494	0.18578	0.001	0.001	0.164117	0.0995386	0.102367	0.0500331	0.0239948	0.084493
Arsk	chr13:76060421-76098660	3.48811	2.86245	2.11963	1.63991	1.328	1.59409	1.74181	2.61977	3.97593	2.73796	2.22179	2.50831	1.22323	2.91882
Art1	chr7:102101742-102111148	0.001	0.001	0.305253	0.001	0.0421833	0.262598	0.001	0.136961	0.001	0.069565	0.001	0.0464375	0.001	0.158142
Art2a-ps	chr7:101552452-101560865	0.001	0.001	0.349839	0.0492271	0.001	0.001	0.191265	0.001	0.001	0.001	0.001	0.082063	0.001	0.001
Art2b	chr7:101578859-101581161	0.126995	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0813867	0.001	0.001
Art3	chr5:92331840-92414627	35.6684	24.7604	29.4416	21.5221	8.08157	24.3009	13.0584	26.3868	53.5719	56.54	27.4257	41.4957	32.7173	35.7771
Art4	chr6:136848450-136857600	0.314958	0.001	0.0574783	0.0482929	0.04753	0.118204	0.119363	1.02621	0.260288	0.118317	0.163063	0.0527957	0.171866	0.223496
Art5	chr7:102096878-102100229	0.340052	0.303208	0.164569	0.17319	0.579237	0.211991	0.685241	0.331515	0.74434	0.0563459	0.820215	0.489546	0.274196	0.213214
Artn	chr4:117926161-117929763	0.0434707	0.001	0.001	0.106557	0.001	0.001	0.164627	0.14155	0.001	0.0869376	0.224972	0.0581692	0.16858	0.0657137
Arv1	chr8:124722138-124734123	1.50586	2.66776	3.81913	1.07576	1.21576	2.70023	1.99696	1.31772	1.72358	2.51878	1.278	1.96826	1.66346	1.41738
Arvcf	chr16:18348181-18407074	0.379421	0.265056	0.340525	0.416871	0.22999	0.666851	0.320599	0.730023	1.21643	0.255399	0.262382	0.356787	0.723801	0.369301
Arx	chrX:93286645-93298355	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Arxes1	chrX:136033366-136034946	0.590311	0.001	0.180116	0.0569016	0.001	0.232179	0.140732	0.242111	0.271449	0.123259	0.545699	0.205847	0.135171	0.268325
Arxes2	chrX:135993819-135995359	0.863714	0.455685	0.278014	0.136653	0.115194	0.812504	0.289709	0.498426	0.837872	0.190214	2.01574	0.635225	0.231896	0.732264
As3mt	chr19:46707442-46741095	14.4417	20.826	25.477	12.3804	20.997	13.1251	24.3825	19.963	23.2666	24.6592	23.1111	23.3989	15.9044	17.7852
Asah1	chr8:41340642-41374697	46.1849	63.8727	46.4641	25.9481	60.8065	29.1156	36.0385	34.1797	50.1019	38.8756	69.8941	43.1617	24.4052	40.03
Asah2	chr19:31984650-32103140	9.07124	8.75655	10.7265	11.5998	4.67598	6.94891	6.78712	13.2511	12.317	13.36	12.4329	16.7152	4.58617	20.3344
Asap1	chr15:64086839-64382919	9.37575	19.202	15.039	25.4713	8.98274	13.2651	11.3802	16.5632	10.9999	15.4975	12.0014	17.3206	10.5474	13.6135
Asap2	chr12:21111755-21270171	7.92848	13.3627	11.5595	16.158	7.25872	9.03366	10.8207	17.7491	11.267	11.2918	14.5198	16.7561	16.5114	16.2961
Asap3	chr4:136206364-136246573	1.12144	1.00843	2.78087	3.21856	1.40024	5.41176	3.23111	6.64254	1.56784	1.23238	1.36335	2.81689	4.65534	2.82396
Asb1	chr1:91540564-91559590	1.13564	1.4202	1.68487	1.45971	0.68577	1.05078	0.813346	1.31578	1.72136	1.86441	0.995792	1.3031	1.62758	1.8129
Asb10	chr5:24532696-24540448	0.284135	0.217883	0.23695	0.0995562	0.04899	0.001	0.0307595	0.476027	0.001	0.447044	0.0840502	0.244791	0.374013	0.0921318
Asb11	chrX:164438100-164459100	0.0805667	0.001	0.232166	0.0490013	0.289002	0.539944	0.001	0.001	0.001	0.001	0.001	0.052871	0.155361	0.0901868
Asb12	chrX:95470198-95478129	0.001	0.001	0.001	0.0490914	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asb13	chr13:3634031-3651779	5.4681	7.52141	6.53358	3.48443	5.73081	8.10795	5.1024	6.23402	6.20436	5.22403	9.26773	7.73258	5.62444	8.87519
Asb14	chr14:26894603-26915257	0.0531488	0.0948496	0.001	0.195049	0.001	0.001	0.001	0.0691261	0.46602	0.001	0.0549602	0.0353824	0.0917187	0.107181
Asb15	chr6:24528143-24573164	0.0211823	0.001	0.0933231	0.0130401	0.001	0.001	0.0483203	0.001	0.001	0.001	0.001	0.0573627	0.0309072	0.0403368
Asb16	chr11:102268822-102278061	0.001	0.001	0.212826	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asb17	chr3:153844246-153853615	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asb18	chr1:89952677-90014577	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asb2	chr12:103321141-103356001	1.14019	0.680895	0.757831	1.29394	0.0835203	1.34985	0.419371	6.30896	0.915459	2.60144	0.715866	2.13681	3.52194	1.45388
Asb3	chr11:30954397-31102704	3.64303	3.36954	4.16989	2.16937	4.23719	3.59661	3.22046	4.19857	6.80319	2.693	6.40187	4.52981	3.12503	4.08699
Asb4	chr6:5383385-5433021	0.502371	1.45202	1.79951	2.79671	0.591243	0.860822	1.20822	1.45753	3.52174	1.57363	0.665421	2.12751	3.22744	1.54827
Asb5	chr8:54550330-54587836	0.248731	0.553822	2.97402	0.151846	0.970729	2.2305	1.45527	2.22093	31.1028	0.370037	2.82681	0.164792	0.150297	0.186793
Asb6	chr2:30823097-30828300	13.7447	10.1174	12.6339	7.12709	8.77341	10.6088	12.5846	10.7916	7.40796	9.24668	2.78911	8.91879	11.7771	8.80568
Asb7	chr7:66644566-66689561	1.95757	1.72379	1.82176	1.65848	1.49369	2.20198	1.63197	3.01762	2.24576	1.80137	2.53606	2.37857	2.38165	2.59911
Asb8	chr15:98134639-98165578	6.8985	8.5866	9.22238	5.56649	11.2402	8.93312	10.3115	9.23622	7.77426	10.2113	8.31666	10.5717	8.14719	9.05702
Asb9	chrX:164497902-164539752	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Ascc1	chr10:60002804-60099990	16.3806	16.0017	17.0679	11.2758	31.9674	17.8123	28.4889	22.0261	17.4398	20.2223	24.2375	16.7013	14.1045	12.6028
Ascc2	chr11:4637792-4683386	6.22351	11.7233	11.0833	9.835	13.5487	9.18812	11.502	10.3777	8.60395	9.79723	9.89198	11.0769	10.1719	9.94809
Ascc3	chr10:50592668-50851202	5.06187	9.5383	9.2723	5.51305	2.52082	3.7304	2.55516	4.96488	4.88591	4.49586	3.66769	5.52503	1.29331	6.72185
Ascl1	chr10:87491040-87493660	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Ascl2	chr7:142966821-142969264	0.001	0.108227	0.001	0.0370914	0.0729634	0.13621	0.001	0.001	0.001	0.001	0.001	0.001	0.0293683	0.001
Ascl3	chr7:109727464-109731732	0.334679	0.001	0.234631	0.200039	0.392258	0.001	0.001	0.001	0.351124	0.952156	0.855751	0.210205	0.0796481	0.121288
Ascl4	chr10:85928490-85929647	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0332266
Ascl5	chr1:136050803-136051370	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asf1a	chr10:53596960-53609215	8.67232	9.0723	7.52376	4.46428	4.34092	5.20354	3.51424	4.63125	7.06035	6.54763	5.96929	6.9922	5.17092	6.9976
Asf1b	chr8:83955693-83970195	0.613002	2.94873	3.55471	2.24576	4.19673	2.29085	4.25822	0.637005	4.55391	7.2377	1.01343	3.12867	3.02295	0.897962
Asgr1	chr11:70054368-70057894	0.001	0.001	0.001	0.0497777	0.001	0.12189	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asgr2	chr11:70092643-70106186	0.001	0.001	0.001	0.001	0.001	0.326943	0.001	0.001	0.001	0.001	0.001	0.0481381	0.0352656	0.001
Ash1l	chr3:88965811-89079375	5.2548	6.0116	6.34774	14.2988	1.80647	8.1315	4.04078	10.4861	5.34105	5.17987	4.5833	8.39963	3.11563	13.0963
Ash2l	chr8:25816869-25847670	12.7586	17.2018	19.7154	11.4616	15.9832	11.7572	15.657	16.4726	17.5163	17.4524	17.7293	15.7402	15.5421	13.8228
Asic1	chr15:99670717-99701128	1.03928	0.477329	1.0638	0.713748	0.497818	0.855173	0.385734	1.46815	0.910926	1.24312	0.576454	1.07823	1.15149	0.965514
Asic2	chr11:80880164-81968396	0.0704265	0.001	0.001	0.001	0.001	0.001	0.001	0.0229599	0.001	0.0706778	0.001	0.0709871	0.0170897	0.026691
Asic3	chr5:24413450-24417834	0.001	0.001	0.001	0.0905285	0.0296905	0.147736	0.001	0.256625	0.001	0.19669	0.001	0.0657686	0.0955117	0.074377
Asic4	chr1:75450509-75474340	0.001	0.001	0.0513342	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asic5	chr3:81996921-82021233	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asl	chr5:130011502-130024331	14.9005	13.7813	16.9085	7.67522	20.9414	9.97368	18.8867	15.4931	15.484	13.6769	12.2598	12.3358	11.5956	11.1327
Asmt	chrX:170672643-170678054	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Asna1	chr8:85017930-85025278	47.6117	55.3562	70.341	31.6219	67.2166	32.5456	80.8803	41.824	54.7845	58.2604	56.8932	42.3733	44.4524	39.0086
Asns	chr6:7675170-7693182	13.0283	31.0819	38.2045	15.3692	16.4092	7.48723	13.9202	12.5853	17.0262	26.0337	19.2893	16.2322	16.3521	12.0576
Asnsd1	chr1:53344643-53352699	10.8568	15.4436	19.0994	9.41416	16.9704	10.5364	17.9941	14.978	21.5564	12.308	18.7768	12.2368	5.67082	9.06675
Aspa	chr11:73304987-73324637	0.384728	0.228343	0.371494	0.313035	0.230893	0.431095	0.241956	0.541152	1.25954	0.190625	1.19225	0.551714	0.52679	0.721829
Aspdh	chr7:44465434-44467751	0.001	0.001	0.001	0.201805	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Aspg	chr12:112106682-112127573	0.0339805	0.001	0.0993931	0.0625922	0.0205379	0.204261	0.0257803	0.001	0.0750448	0.0341214	0.001	0.0913973	0.0989729	0.0257683
Asph	chr4:9449084-9669162	6.66012	8.06459	7.33083	6.32842	5.66558	5.23052	2.7465	5.75523	12.5872	6.26149	9.72997	6.0127	4.90485	9.23955
Asphd1	chr7:126946007-126949581	0.001	0.001	0.358375	0.154329	0.001	0.001	0.001	0.001	0.533103	0.239984	1.33355	0.001	0.123493	0.277282
Asphd2	chr5:112385444-112392213	0.432787	0.001	0.001	0.11324	0.001	0.001	0.001	0.001	0.135061	0.367976	0.001	0.409698	0.001	0.2554
Aspm	chr1:139454772-139494088	0.0624938	0.30552	0.539693	0.876063	0.217116	0.653876	0.224505	0.099364	0.696953	0.743325	0.917893	0.584054	0.247957	0.437085
Aspn	chr13:49544442-49567562	18.3225	24.248	14.5376	16.7958	1.58037	10.9279	0.763252	11.0242	34.7086	32.3918	17.0839	16.4081	2.29498	28.6042
Asprv1	chr6:86628173-86629704	0.386449	6.42183	4.66403	4.24463	4.94743	0.001	0.534658	0.001	0.001	0.382909	0.0665307	0.681968	0.280124	0.555823
Aspscr1	chr11:120672972-120709446	18.2612	19.3727	25.6133	10.3532	18.5018	13.4922	20.9782	14.7832	19.8413	21.6904	6.73663	16.9022	17.1086	15.8383
Asrgl1	chr19:9111718-9135566	3.56449	4.52301	4.23299	2.71887	4.2512	2.51895	3.58007	2.75407	5.56729	4.10678	4.20505	4.08081	3.41664	4.07545
Ass1	chr2:31470269-31520670	36.4841	7.98419	11.322	16.9483	28.1559	18.3277	29.7402	16.7929	4.95395	3.41841	2.29825	1.50918	24.247	8.0942
Aste1	chr9:105395391-105405756	2.35606	2.80242	2.11969	3.12484	1.80602	3.89633	1.77578	2.56619	2.75325	3.78993	3.60763	4.14777	5.20133	2.64679
Astl	chr2:127338638-127357651	0.0394957	0.0706847	0.001	0.121115	0.001	0.0889347	0.001	0.0514738	0.001	0.001	0.001	0.0264806	0.001	0.0298935
Astn1	chr1:158362303-158691786	0.135512	0.243904	0.181434	0.554794	0.0149469	0.213836	0.0562772	1.29015	0.658687	0.724617	0.102305	0.518859	0.41408	0.395451
Astn2	chr4:65380802-66404483	0.279193	0.001	0.0565971	0.035581	0.081766	0.0435361	0.175798	0.401533	0.001	0.447728	0.539517	0.492118	0.0724493	0.499509
Asun	chr6:146549631-146577835	6.89469	13.3892	13.05	6.88233	7.66801	8.4899	5.89729	9.80415	13.6517	12.5075	16.6939	11.4824	8.71589	12.3914
Asxl1	chr2:153346138-153404007	5.87524	7.45581	7.76757	9.38945	8.14002	10.9654	9.30235	11.0436	6.34802	8.47854	9.7155	11.2494	12.9681	13.0962
Asxl2	chr12:3426856-3506849	2.26088	3.061	3.49245	4.39136	1.97678	3.7253	2.82515	4.67178	2.79218	2.31023	2.72234	4.08034	1.95399	5.97234
Asxl3	chr18:22345088-22530227	0.270257	0.0541017	0.132886	0.366124	0.127841	0.345867	0.0972759	0.422775	0.117277	0.221194	0.210531	0.414699	0.318308	0.709584
Asz1	chr6:18050963-18109061	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Atad1	chr19:32672562-32712298	25.2254	29.9807	21.7766	11.912	10.5317	16.5077	8.79607	18.5594	22.1911	18.5596	19.3804	18.0351	8.28211	21.0471
Atad2	chr15:58094046-58135082	2.68115	5.28918	4.37263	5.4887	1.14176	3.55604	1.11614	2.26013	4.9674	3.76017	2.68365	3.65178	1.84865	4.83057
Atad2b	chr12:4917352-5047410	3.00209	3.75397	2.9919	3.62323	1.47276	3.38649	1.67151	3.02232	3.40622	2.03774	2.9698	4.43655	1.89842	6.82844
Atad3a	chr4:155740639-155761098	10.0367	17.2716	18.4474	9.46059	12.844	11.6362	12.4258	10.102	13.8382	10.7949	7.26321	8.94121	10.3578	8.26839
Atad5	chr11:80089399-80135791	0.317138	1.03186	0.790478	0.782377	0.377922	0.717922	0.139344	0.399088	0.760791	0.321544	0.367242	0.489563	0.166334	0.521931
Atat1	chr17:35897597-35910068	2.56967	1.41183	1.80765	2.48822	3.25994	4.74785	3.58107	1.80574	2.34295	1.50805	1.62996	2.58079	4.96285	2.08923
Atcay	chr10:81204512-81230779	0.0495444	0.001	0.001	0.0457165	0.001	0.0559408	0.001	0.001	0.001	0.001	0.001	0.001	0.0120419	0.0094228
Ate1	chr7:130391493-130520369	7.52103	9.18406	6.44709	5.74866	4.48051	5.15724	3.71523	6.71038	7.72848	7.09944	6.90311	9.01396	5.24213	10.6745
Atf1	chr15:100227858-100261248	18.6161	21.894	17.2096	12.9754	10.2355	17.1222	8.38508	9.9718	15.8345	13.5053	18.9817	14.1264	14.9232	17.6149
Atf2	chr2:73816521-73892628	12.1632	11.7195	11.0773	10.6415	5.53199	10.4085	5.32217	11.5873	11.0473	9.0127	10.3043	10.568	6.16127	15.7334
Atf3	chr1:191170296-191183333	436.881	420.219	445.933	393.957	341.54	345.308	355.12	208.361	454.451	655.733	620.368	727.43	1011.21	905.268
Atf4	chr15:80255183-80257541	209.997	338.493	290.791	165.016	156.946	177.316	131.653	120.619	267.563	294.084	88.7082	200.253	264.243	196.853
Atf5	chr7:44812255-44816658	22.9097	17.045	15.9576	13.3794	9.03263	14.4747	17.7894	11.3971	14.1757	23.4718	3.40771	14.9064	15.8355	11.6295
Atf6	chr1:170704456-170867771	5.74862	9.98421	9.50003	10.4392	6.29972	5.74527	6.6218	10.1276	8.30873	7.79249	8.71827	8.33168	5.22367	8.48422
Atf6b	chr17:34647145-34655074	21.2309	19.206	20.9323	19.0311	24.0905	18.1296	27.487	21.3311	17.6467	20.385	7.49325	17.8473	25.104	14.7783
Atf7	chr15:102536643-102625421	3.21002	2.96386	3.89047	9.87784	3.13673	5.89773	6.93902	7.88965	2.72279	5.0501	5.4763	6.15352	8.58036	7.79872
Atf7ip	chr6:136518850-136607379	6.25406	8.44682	12.1145	17.5383	9.91608	11.7653	15.4513	20.7896	7.9175	9.17695	13.6787	11.8742	16.2485	15.0944
Atf7ip2	chr16:10192905-10243051	0.001	0.001	0.001	0.0221443	0.001	0.001	0.001	0.001	0.0796178	0.001	0.001	0.0242348	0.001	0.001
Atg10	chr13:90935348-91223987	5.05207	2.92822	3.61841	3.60538	4.09447	4.36781	4.13661	2.4907	2.92638	5.19473	6.54116	4.72152	2.08952	5.07622
Atg12	chr18:46732416-46741579	23.5268	22.3714	19.1851	12.9156	16.927	18.1446	13.3431	22.2085	23.9982	20.8036	18.7307	22.1872	18.606	22.9773
Atg13	chr2:91674611-91710592	8.42612	8.4786	8.91195	8.73188	10.7006	8.3403	13.4058	12.7392	12.7301	11.2207	9.47793	10.3652	10.1768	9.16613
Atg14	chr14:47540892-47568434	5.85404	3.47008	4.42707	3.5999	3.78501	4.56454	5.05087	6.77986	6.33667	4.02973	6.67339	5.61517	4.96903	6.43459
Atg16l1	chr1:87756010-87792428	9.25378	12.5164	10.0701	7.61602	9.31826	14.8116	9.43925	11.7592	8.93375	12.0822	10.0148	12.5458	15.2641	15.3103
Atg16l2	chr7:101289615-101302088	3.93812	3.52087	3.18966	2.65451	4.51202	6.53041	3.6786	3.39092	3.27301	3.01872	1.85686	3.62969	5.40865	5.10104
Atg2a	chr19:6241667-6262304	3.65197	4.14457	5.27224	7.62908	4.83619	6.82324	6.46979	6.56072	3.43922	4.12654	1.70585	4.80146	7.47485	5.65241
Atg2b	chr12:105613539-105685241	2.02504	3.19553	3.43267	4.10789	1.99424	3.1824	2.07741	4.19285	2.41308	2.55735	3.1367	3.77489	3.79103	4.23727
Atg3	chr16:45158828-45188538	20.2316	25.0587	17.594	11.8371	12.7891	13.884	7.06489	10.0223	21.5466	20.8109	23.0898	20.3733	14.7598	19.545
Atg4a	chr3:103643952-103646068	18.3425	13.1484	12.9413	6.23688	10.8687	13.4507	6.07881	10.5121	18.9354	18.9133	21.2572	15.9515	7.88995	14.4504
Atg4b	chr1:93755032-93789529	15.2892	14.2355	17.0934	8.45563	14.5767	9.97279	16.5926	17.4525	18.2442	16.3737	9.77745	15.8114	15.4551	15.3402
Atg4c	chr4:99193933-99259787	2.90345	3.17436	3.00633	2.15713	3.35673	2.22179	2.05874	2.75863	3.89928	2.4767	3.87895	3.26982	1.66028	3.65984
Atg4d	chr9:21265298-21274368	5.47439	4.73704	6.49598	2.54772	2.30795	3.72491	4.29059	2.99398	4.37685	4.38495	0.494695	4.29248	5.59803	4.07782
Atg5	chr10:44268357-44364291	18.0585	16.5154	15.1627	7.12976	11.0681	11.6342	7.53953	10.387	18.2215	14.7646	14.437	13.7651	9.9405	13.7718
Atg7	chr6:114643096-114860614	7.62652	10.4715	12.3858	9.10789	14.0238	11.1448	10.809	11.7279	8.28347	9.70929	5.59378	9.20111	10.2427	9.90935
Atg9a	chr1:75180865-75191923	9.08762	9.24283	13.652	14.0965	12.4894	11.2628	15.6865	17.7757	10.9311	14.4787	7.74454	14.4744	21.0558	15.4482
Atg9b	chr5:24384180-24392143	3.23463	3.30127	3.07364	3.85197	8.29103	5.44929	3.4669	4.15009	2.47729	2.41825	5.1646	2.58088	4.26561	3.4451
Athl1	chr7:140941580-140947658	4.09409	3.44761	5.76633	3.31562	4.87737	4.22063	6.19189	4.3915	5.00616	5.95638	4.307	5.89059	5.72393	6.23926
Atic	chr1:71557155-71579403	6.63623	19.4269	26.3365	11.8693	14.2698	8.14712	16.5611	12.6086	15.4335	12.8521	14.8937	10.2111	10.5451	7.77405
Atl1	chr12:69893104-69964085	2.23507	1.70826	2.26012	1.37264	2.50375	2.84078	1.69603	2.22978	4.64618	2.67471	6.36841	2.67588	3.67042	4.17658
Atl2	chr17:79848391-79896123	14.7981	13.8005	11.1413	8.65851	5.88008	10.378	4.84672	7.20191	14.1908	8.4249	10.5397	11.4879	7.90343	13.7067
Atl3	chr19:7494039-7538609	14.266	20.686	20.6074	18.9783	8.9534	12.1433	11.7863	23.1784	19.9397	15.11	15.7543	19.9478	10.4146	22.9162
Atm	chr9:53437121-53536671	0.961135	1.54664	2.17549	1.57628	0.705059	1.0529	0.564845	1.66721	1.52288	1.01388	1.18884	1.61132	0.396918	2.03568
