tracking_id	locus	FAP 0D NTX	FAP 1D NTX	FAP 2D NTX	FAP 3D NTX	FAP 3D NTX	FAP 4D NTX	FAP 5D NTX	FAP 6D NTX	FAP 10D NTX
4833420G17Rik	chr13:119462758-119486117	8.35067	3.07431	7.69587	9.79252	3.53244	5.46411	8.4092	10.7152	9.38744
4833422C13Rik	chr13:91701664-91741872	1.54232	0.245949	1.07531	3.17501	2.58638	2.99687	5.18376	4.40964	6.86031
4833423E24Rik	chr2:85484091-85518935	0.696245	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4833424O15Rik	chr3:117575460-117689506	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4833427F10Rik	chr17:35772449-35780687	0.115352	0.001	0.001	0.001	0.001	0.165074	0.035465	0.001	0.0758109
4833427G06Rik	chr9:51081312-51102078	0.001	0.001	0.194222	0.001	0.001	0.001	0.150521	0.159666	0.001
4833428L15Rik	chr9:45416625-45431232	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4833439L19Rik	chr13:54551217-54565382	41.0505	28.0792	19.8877	23.5719	33.258	27.2926	28.3101	27.0766	18.7345
4921501E09Rik	chr17:33064142-33068058	0.001	0.001	0.001	0.0395661	0.001	0.001	0.001	0.001	0.001
4921504E06Rik	chr2:19462836-19553910	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921506M07Rik	chr12:57564114-57622109	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921507L20Rik	chr2:93980033-93983575	0.436506	0.332835	0.170805	0.106852	0.001	0.0781087	0.0335635	0.216894	0.394663
4921507P07Rik	chr6:50573303-50596590	0.139531	0.001	0.0545081	0.001	0.001	0.0500424	0.0430171	0.001	0.0690411
4921508A21Rik	chr11:55191718-55197682	0.620365	0.0809149	0.218327	0.410093	0.134901	0.449978	0.229186	0.58731	0.832275
4921508D12Rik	chr2:132424740-132452499	0.001	0.001	0.001	0.162245	0.0805601	0.828177	0.813131	0.761461	0.0542529
4921509C19Rik	chr2:151470541-151476151	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921509O07Rik	chr13:113446287-113502844	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921511C10Rik	chr3:79212918-79253913	0.001	0.001	0.18227	0.11398	0.001	0.001	0.001	0.001	0.229507
4921511C20Rik	chrX:127394292-127395898	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921511H03Rik	chr5:7304163-7311491	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921511I17Rik	chr12:12351521-12392475	0.001	0.001	0.001	0.125741	0.001	0.001	0.001	0.001	0.33729
4921511M17Rik	chrX:154001589-154012640	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA
4921511M17Rik	chrX:154022779-154033827	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA
4921511M17Rik	chrX:154043985-154055039	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA	LOWDATA
4921511M17Rik	chrX:154109632-154120685	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921513I03Rik	chr10:120765731-120778886	0.001	0.001	0.001	0.001	0.001	0.001	0.065902	0.0709947	0.246578
4921515E04Rik	chr15:18078136-18369627	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921517D22Rik	chr13:59687401-59694101	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921524J17Rik	chr8:85408758-85432841	11.7331	0.552421	8.43662	11.1191	4.55037	11.8806	11.6985	11.9775	5.35351
4921524L21Rik	chr18:6603632-6638966	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921525B02Rik	chr14:103692982-103699432	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921525O09Rik	chr13:52096740-52124160	0.001	0.001	0.001	0.0477506	0.001	0.001	0.001	0.001	0.001
4921530D09Rik	chr2:25608628-25617678	0.001	0.0843203	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921530L18Rik	chr2:14070332-14073934	0.001	0.001	0.001	0.231821	0.11582	0.16853	0.578885	0.461026	0.46271
4921530L21Rik	chr14:95881265-95882775	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921531C22Rik	chr2:179976852-179979013	0.608445	0.792947	0.883491	0.510782	0.629753	0.685188	0.562164	0.34685	1.00209
4921531P14Rik	chr18:83292791-83325884	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921533I20Rik	chr18:17234482-17235482	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4921536K21Rik	chr11:3886087-3895126	0.308516	0.0267139	0.240964	0.483592	0.237976	0.487068	0.380647	0.247304	0.305522
4921539E11Rik	chr4:103230444-103290863	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4922501C03Rik	chr9:87191962-87255532	2.18546	0.318282	1.95802	1.76554	0.667577	1.88952	2.01714	2.91639	2.14083
4922501L14Rik	chr3:154711132-154749012	0.164061	0.001	0.001	0.001	0.001	0.001	0.0252712	0.001	0.001
4922502D21Rik	chr6:129322164-129331781	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4922502H24Rik	chr13:101391870-101397580	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4922502N22Rik	chr6:139315596-139322576	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4922505E12Rik	chr1:182747125-182749180	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930401C15Rik	chr10:25779313-25837437	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930401O10Rik	chr11:71928470-71940122	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930401O12Rik	chr13:31213409-31241086	0.001	0.0985927	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930402F06Rik	chr2:35375561-35397174	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0441534
4930402F11Rik	chr7:69496093-69499689	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930402H24Rik	chr2:130707852-130840110	4.85889	2.65253	9.6792	8.99606	6.85175	10.4206	7.96213	10.0612	7.84096
4930402K13Rik	chrX:9104561-9106342	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930404A05Rik	chr16:52799507-52815744	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930404A10Rik	chr11:54370651-54426755	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930404H11Rik	chr12:71540606-71556133	13.2494	0.001	0.001	0.244398	0.001	0.001	0.304953	0.001	0.243679
4930404I05Rik	chr16:91011248-91016503	0.001	0.001	0.001	0.181454	0.001	0.001	0.170348	0.242555	0.0605895
4930404N11Rik	chr10:81364023-81365820	0.567314	4.30353	1.34182	0.277211	1.11247	0.001	0.258995	0.001	0.459541
4930405A10Rik	chr14:22507173-22542798	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.121472
4930405A21Rik	chr2:156714538-156720909	0.001	0.0799498	0.285263	0.001	0.001	0.12954	0.166916	0.356651	0.0593742
4930405D11Rik	chr11:90804690-90895152	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930405J17Rik	chr10:20199246-20201854	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930405P13Rik	chr11:88905927-88936061	0.001	0.001	0.001	0.001	0.001	0.001	0.142309	0.0755897	0.11376
4930406D18Rik	chr3:100426404-100437754	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930407I10Rik	chr15:82059150-82066538	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930408F14Rik	chrX:73175301-73176989	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930412B13Rik	chr2:117821927-117909136	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930412C18Rik	chr4:9770584-9823411	0.35834	0.0343748	0.093207	0.195079	0.0383273	0.001	0.135272	0.0266985	0.0658372
4930412O13Rik	chr2:9881245-9886767	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930413E15Rik	chr5:118952338-118961261	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930413F20Rik	chr15:34675072-34679204	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930413G21Rik	chr7:122969057-122970459	0.610673	0.426474	0.0956353	1.91315	0.354889	0.001	0.0750695	0.161469	0.001
4930413M19Rik	chr14:50503768-50520943	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930414L22Rik	chr6:72438682-72440615	2.13869	1.96927	2.0065	2.68118	2.39634	0.429173	0.974915	0.625997	1.63457
4930414N06Rik	chr19:44972116-44984550	0.001	0.001	0.266526	0.329425	0.001	0.238463	0.20465	0.214974	0.761597
4930415F15Rik	chr11:11489265-11515190	0.001	0.341249	0.001	0.001	0.001	0.363424	0.234035	0.330675	0.166209
4930415L06Rik	chrX:89930096-89932852	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930415O20Rik	chr15:98571003-98589588	0.001	0.001	0.295899	0.365013	0.001	0.001	0.113178	0.473707	0.120239
4930417O13Rik	chr6:125265524-125273777	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930417O22Rik	chr11:101952420-101960574	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930419G24Rik	chr3:33024776-33088607	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930422G04Rik	chr3:127553488-127618023	0.198149	0.265481	1.06437	0.496307	0.285734	0.665009	0.762429	1.05147	0.291685
4930423M02Rik	chr4:5632327-5642284	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930425K10Rik	chr5:67933611-67943081	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930425O10Rik	chr3:138711534-138726984	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930426D05Rik	chr18:21651564-21656107	0.001	0.001	0.001	0.001	0.001	0.001	0.0319422	0.001	0.001
4930426L09Rik	chr2:18998318-18999804	0.001	0.0498789	0.0895459	0.001	0.27684	0.409282	0.281382	0.151439	0.112782
4930427A07Rik	chr12:113156420-113165458	0.189873	10.3174	3.9646	2.23251	3.45186	5.4885	5.05569	3.43303	1.1766
4930428D18Rik	chrX:76393349-76397979	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930428E07Rik	chr12:38552808-38614521	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930428G15Rik	chr9:115336160-115341924	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930428O21Rik	chr5:107698211-107703480	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930429B21Rik	chr3:32365488-32367438	0.0847351	0.367991	0.001	0.165983	0.531975	0.0607307	0.0783001	0.0563762	0.195415
4930429D17Rik	chr5:103230374-103299029	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930429F11Rik	chr17:79475623-79477885	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930429F24Rik	chr9:79793640-79803235	1.89608	0.001	0.087296	0.218414	0.001	0.159644	0.102897	0.001	0.329964
4930430A15Rik	chr2:111193253-111229600	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930430D24Rik	chrX:38038198-38043114	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930430F08Rik	chr10:100572273-100589259	3.42413	0.203622	3.56666	1.97313	0.420955	2.45646	1.739	1.61303	1.10763
4930430F21Rik	chr15:31039125-31043331	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930430J02Rik	chr9:57391069-57400364	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930431F12Rik	chr5:44966200-44978805	0.180389	0.001	0.225525	0.141361	0.001	0.15525	0.133453	0.336782	0.606832
4930431P03Rik	chr14:44954899-44961307	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0235743
4930432J09Rik	chr14:103977627-104027142	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930432K09Rik	chr5:87825696-87846386	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930432K21Rik	chr8:84148037-84172597	0.0680288	1.04716	0.106307	0.254636	0.295373	0.146425	0.251755	0.260298	0.0897959
4930432M17Rik	chr3:121670762-121682982	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930433B08Rik	chr3:18468284-18480477	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930433I11Rik	chr7:40987608-40994833	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930433N12Rik	chr9:3190268-3199813	0.001	0.001	0.001	0.001	0.001	0.001	0.0381447	0.001	0.001
4930434J06Rik	chr14:71856708-71920438	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930435E12Rik	chr16:38812204-38828749	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930438E09Rik	chr14:67332041-67397742	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.560442
4930440C22Rik	chr1:94797441-94802472	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930441J16Rik	chr2:74298939-74307717	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930441O14Rik	chr13:67729261-67756838	0.220763	0.001	0.107736	0.0540727	0.132972	0.0396194	0.0510908	0.147636	0.164055
4930442J19Rik	chr2:151302038-151316003	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930442L01Rik	chr3:96829825-96832070	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0264352
4930443O20Rik	chr2:85073613-85086461	0.236461	0.001	0.092563	0.001	0.114481	0.001	0.0363435	0.0782063	0.427259
4930444A02Rik	chr8:25980603-25994121	4.89224	9.25179	4.40297	4.49142	7.61802	4.1156	5.62061	5.6997	6.64417
4930444F02Rik	chr10:18797298-18831930	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930444G20Rik	chr10:22066308-22068079	0.141229	0.001	0.001	0.001	0.001	0.001	0.0579685	0.0312697	0.201464
4930444M15Rik	chr14:76514557-76520855	0.001	0.001	0.001	0.001	0.0489606	0.001	0.0311578	0.001	0.0333131
4930444P10Rik	chr1:16065978-16093041	0.001	0.001	0.001	0.001	0.266898	0.001	0.16595	0.001	0.001
4930447A16Rik	chr15:37425553-37440644	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.114493
4930447C04Rik	chr12:72881108-72917765	0.0866724	0.0376502	0.474361	1.18842	0.001	0.24845	0.213549	0.691748	0.342601
4930447J18Rik	chr14:47898863-47944189	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930447K03Rik	chr13:34084154-34113272	0.001	0.001	0.001	0.0850196	0.001	0.495808	0.212965	0.001	0.284131
4930447N08Rik	chr3:122795090-122801980	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0498955
4930448C13Rik	chr12:14996388-15050389	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930448F12Rik	chr13:18084946-18100202	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930448H16Rik	chr5:143226991-143234748	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.11023
4930448I06Rik	chr1:41167559-41181252	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930448I18Rik	chr5:50151332-50156092	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930448K20Rik	chr4:9915964-9917397	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930449E01Rik	chr14:105498787-105505628	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930449E18Rik	chr19:57273959-57277052	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930449I24Rik	chr5:146502398-146505183	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930451C15Rik	chr16:17544464-17561247	0.001	0.001	0.120028	0.001	0.001	0.001	0.0236615	0.001	0.101267
4930451G09Rik	chr16:4964287-4978962	0.001	0.224087	0.0672248	0.001	0.0547288	0.0407582	0.158896	0.113888	0.0283246
4930451I11Rik	chr7:126830473-126831496	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930452A19Rik	chr17:9750751-9775866	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930452B06Rik	chr14:8431171-8666290	0.001	0.0253317	0.274275	0.0573476	0.001	0.210064	0.198646	0.391229	0.0579828
4930452G13Rik	chr14:79702919-79712930	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930452N14Rik	chr1:154241520-154256906	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930453H23Rik	chrX:21206579-21221665	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930453L07Rik	chr8:9144668-9149050	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0389621
4930453N24Rik	chr16:64766104-64770939	28.2402	16.3006	23.7434	22.1925	13.3074	21.8581	21.8467	21.3805	13.9883
4930455B14Rik	chr14:8666389-8673378	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930455C13Rik	chr10:21319087-21342055	0.708941	1.63674	2.22567	1.38729	1.29284	2.65422	2.06293	2.55319	1.68022
4930455D15Rik	chr18:32663641-32837287	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930455F16Rik	chr16:4219911-4229116	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930455F23Rik	chr1:164275597-164287847	4.98018	1.13872	1.98112	1.797	0.506432	1.25223	1.13013	1.10397	1.23748
4930455H04Rik	chr3:116968266-116984406	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930455J16Rik	chr13:58741073-58762311	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930456L15Rik	chr4:103290958-103311832	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930459L07Rik	chr5:58443239-58452998	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930461G14Rik	chr9:58455172-58469623	0.001	0.108626	0.001	0.001	0.001	0.001	0.0746621	0.001	0.001
4930465A12Rik	chr4:128133522-128166597	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930465K10Rik	chr18:77714183-77715445	0.001	0.001	0.10786	0.001	0.133486	0.001	0.001	0.001	0.001
4930465M20Rik	chr12:107723742-107735488	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930467D21Rik	chr5:97392416-97588126	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930467E23Rik	chr8:19729575-19753602	0.19055	0.001	0.0618217	0.0560145	0.001	0.001	0.00385175	0.0380995	0.0372659
4930467K11Rik	chr10:57478382-57486353	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930468A15Rik	chrX:76582609-76602924	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930469G21Rik	chr1:161156842-161159314	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930470H14Rik	chr17:4044657-4082995	4.77013	0.398201	4.03262	3.72767	0.512367	1.76009	1.6314	3.5192	32.7005
4930470P17Rik	chr2:170579417-170602017	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930471C04Rik	chr14:64099294-64104235	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930471G03Rik	chr18:36106202-36109954	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930471I20Rik	chr2:155547039-155556930	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.206728	0.001
4930471M09Rik	chr6:91430459-91440854	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930473A02Rik	chr2:130543790-130563749	0.364349	0.0530054	0.380386	0.118903	0.0588136	0.173742	0.0746517	0.240874	0.398886
4930473O22Rik	chr10:97590983-97596931	0.001	0.001	0.001	0.001	0.001	0.001	0.0357349	0.001	0.001
4930474G06Rik	chr18:28560163-28998176	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930474H20Rik	chr14:90126890-90269760	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930474M22Rik	chr17:14389106-14398942	0.001	0.001	0.001	0.001	0.001	0.001	0.203321	0.213629	0.756689
4930474N05Rik	chr14:36094964-36096855	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930474N09Rik	chr12:99161276-99162808	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930478L05Rik	chr16:78560315-78564869	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.203311
4930478P22Rik	chr5:35361552-35367677	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930479D17Rik	chr6:146657217-146665403	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.168882	0.001
4930479M11Rik	chr7:30670721-30671605	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930480E11Rik	chrX:78369642-78371128	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930480G23Rik	chr4:19979444-20005739	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930480K15Rik	chr17:90861168-90867102	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930480M12Rik	chr12:26211266-26240707	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930481A15Rik	chr19:5406873-5422847	3.62396	1.20441	0.791129	0.636557	1.57099	0.001	0.724994	0.707703	2.40049
4930483J18Rik	chr15:81190852-81192757	0.001	0.001	0.001	0.001	0.236702	0.001	0.001	0.001	0.001
4930483K19Rik	chr10:76545870-76562226	0.001	0.493083	0.331139	0.001	0.001	0.201288	0.001	0.278424	0.001
4930483O08Rik	chr7:133128250-133142457	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930486F22Rik	chr10:86095853-86113585	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930486I03Rik	chr1:20356453-20392300	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930486L24Rik	chr13:60842611-60864416	0.750333	0.001	0.001	0.001	0.001	0.0894328	0.192128	0.330494	0.123181
4930487D11Rik	chr5:38344388-38349197	0.001	0.001	0.001	0.001	0.001	0.576296	0.001	0.001	0.001
4930487H11Rik	chr1:62790917-62794732	0.206429	0.001	0.001	0.20191	0.001	0.001	0.001	0.001	0.538538
4930488B22Rik	chr1:184712496-184718989	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930488L21Rik	chr8:93811693-93813555	0.001	0.001	0.0696847	0.001	0.001	0.001	0.001	0.0592466	0.0880481
4930500F04Rik	chr5:149847746-149864280	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930500J02Rik	chr2:104559183-104571429	0.001	0.001	0.001	0.204128	0.001	0.001	0.001	0.228399	0.11581
4930500L23Rik	chr5:139523750-139541339	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930502A04Rik	chr9:68470901-68520200	0.001	0.001	0.001	0.001	0.001	0.001	0.0657716	0.001	0.001
4930502E09Rik	chr11:84829177-84830868	0.001	0.001	0.001	0.249317	0.001	0.001	0.001	0.001	0.001
4930502E18Rik	chrX:53724830-53738222	0.001	0.001	0.228003	0.142358	0.141123	0.001	0.001	0.287277	0.0953473
4930503B20Rik	chr3:146646258-146651317	0.355301	0.001	0.001	0.001	0.345577	0.633423	0.380895	0.348954	0.174217
4930503E14Rik	chr14:44163166-44171371	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930503E24Rik	chr10:124469073-124524488	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930503H13Rik	chrX:156539482-156540117	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930503L19Rik	chr18:70453139-70472480	2.27755	0.277678	4.67136	3.34653	0.446379	2.90976	3.53247	4.36678	1.38505
4930503O07Rik	chr1:194212186-194222759	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930504O13Rik	chr11:58446142-58452966	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930505A04Rik	chr11:30426005-30471829	0.001	0.001	0.311599	0.38801	0.001	0.141273	0.303359	0.1294	0.258879
4930505G20Rik	chr14:115396550-115409552	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930506C21Rik	chr17:8293365-8311118	0.001	0.001	0.438483	0.728485	0.001	0.663444	0.398927	0.24342	0.121618
4930506M07Rik	chr19:58973357-59076069	0.210224	0.0544644	0.229682	0.227413	0.242882	0.15102	0.23896	0.441009	1.10016
4930507D05Rik	chr10:62449159-62451353	0.223705	0.614451	0.174817	0.0730421	0.611725	0.001	0.114913	0.001	0.12294
4930509E16Rik	chr9:72518249-72531858	0.001	0.001	0.001	0.001	0.142784	0.001	0.0451513	0.001	0.0482219
4930509J09Rik	chr3:73351205-73481651	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930509K18Rik	chr4:40313231-40317719	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930511A02Rik	chr12:11438232-11444812	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930511E03Rik	chr6:94943833-94951545	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930511M06Rik	chr18:57545360-57552397	1.49676	0.05271	0.808386	0.646183	0.229912	0.791585	0.54277	1.55454	3.66938
4930511M11Rik	chr5:3657003-3679544	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0387498
4930512B01Rik	chr12:69790343-69841880	0.001	0.001	0.0941866	0.001	0.116497	0.172099	0.0739463	0.0795428	0.237077
4930513D17Rik	chr5:39461748-39603574	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930513N10Rik	chr8:95806829-95821728	0.001	0.645564	0.0448108	0.11244	0.414834	0.0823775	0.123932	0.268526	0.170542
4930513O06Rik	chrX:139086242-139093403	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930515B02Rik	chr4:140872692-140878057	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930515G01Rik	chr5:114773732-114774983	0.27809	0.364976	0.217909	0.136102	0.674233	0.198724	0.426881	1.0081	0.547199
4930515G16Rik	chr6:67565233-67565699	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930515L03Rik	chr2:16918677-17013726	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
4930515L19Rik	chrX:46267558-46328911	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
