tracking_id	Inflammatory 1D NTX (a)	Inflammatory 1D NTX (b)	Inflammatory 2D NTX (a)	Inflammatory 2D NTX (b)	Inflammatory 2D NTX ©	Inflammatory 3D NTX (a)	Inflammatory 3D NTX (b)	Inflammatory 3D NTX ©	Inflammatory 4D NTX	Inflammatory 5D NTX	Inflammatory 6D NTX	Inflammatory 7D NTX (a)	Inflammatory 7D NTX (b)	Inflammatory 10D NTXs
1700113H08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.119704
1700119H24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700120C14Rik	0.001	0.001	0.001	0.467222	0.001	0.855591	0.224727	1.86914	1.04652	0.001	0.001	0.001	0.232979	0.473155
1700120E14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700120G07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700120K04Rik	0.340931	0.460491	0.001	0.565739	0.511209	0.001	0.129736	0.538496	0.001	0.001	0.001	2.74167	0.001	0.466253
1700121L16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700121N20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700122O11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700123I01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0990713	0.034185	0.001	0.001	0.001	0.001	0.001	0.0243455
1700123K08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700123L14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700123M08Rik	0.001	0.001	0.381102	0.485151	0.354257	0.768057	0.586948	0.497372	0.247664	0.322487	0.001	1.44988	0.332756	0.430396
1700123O12Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700123O20Rik	8.69428	7.1824	12.2846	12.583	7.1983	11.9468	9.77729	13.1585	13.2347	11.5036	196.677	15.5028	13.0765	11.4508
1700123O21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700125G02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700125G22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700125H03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700125H20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700126H18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700128A07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700128F08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700129C05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810006J02Rik	0.25467	0.001	0.151127	0.001	0.001	0.123806	0.001	0.001	0.182124	0.127147	0.001	0.172088	0.653106	0.208456
1810007C17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810007D17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810007I06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810008I18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810009A15Rik	40.1163	50.758	58.827	61.4309	62.1123	90.666	44.1128	30.3508	34.3725	45.0919	0.001	59.4395	58.7374	27.6546
1810009J06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810010D01Rik	0.167658	0.001	0.001	0.001	0.165994	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810010H24Rik	0.13826	0.0613366	0.122596	0.001	0.001	0.001	0.617372	0.266408	0.119392	0.311067	0.001	0.279791	0.0534749	0.339699
1810011H11Rik	2.37036	6.72831	9.3974	8.22843	5.74743	10.5204	7.20883	12.4257	10.9513	12.6526	0.001	10.6066	5.95425	5.88889
1810011O10Rik	4.9851	0.392383	0.787399	0.658439	2.51475	1.6172	1.47955	1.19147	1.47801	1.57737	195.968	28.4965	6.57993	2.63035
1810012K16Rik	0.001	0.001	0.29873	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810013A23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810013D10Rik	15.5446	25.8172	24.7652	29.0204	30.2878	40.5278	29.8569	26.7542	40.8152	31.5588	0.001	30.4385	32.4233	19.1237
1810013L24Rik	25.0005	12.0553	15.2758	14.0382	15.7136	6.04919	10.7662	11.3529	8.80116	11.8215	0.001	8.99832	10.3261	19.073
1810014B01Rik	1.02115	0.628028	1.02723	0.528954	0.897211	0.921034	0.953041	1.46282	1.02919	2.43852	0.001	1.79982	0.854281	1.22353
1810018F18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810019D21Rik	0.001	0.188693	0.0947161	0.2716	0.001	0.103706	0.0790422	0.001	0.0916921	0.001	0.001	0.431797	0.001	0.0581709
1810019J16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0705034	0.001	0.001	0.001	0.221253	0.044844
1810020O05Rik	0.001	0.001	0.001	0.001	0.144776	0.001	0.001	0.001	0.001	0.001	0.001	0.296184	0.001	0.001
1810021B22Rik	0.263752	0.590419	0.001	0.001	0.393788	0.387231	0.199025	0.20637	0.001	0.198468	0.001	3.18942	0.309998	0.576764
1810022K09Rik	122.444	29.8435	85.8389	64.2413	105.682	36.0899	36.0057	84.7578	56.6998	64.3695	557.536	85.9004	46.3309	63.1471
1810024B03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.271659	0.001
1810026B05Rik	4.82917	1.54092	1.5139	0.908785	1.37767	2.16313	0.950286	2.83224	1.84875	2.1292	0.001	4.13631	10.8001	13.6668
1810026J23Rik	4.1293	4.75677	4.95414	7.50233	3.722	6.66016	7.82517	6.91673	10.5609	5.88831	0.001	9.95402	6.95304	5.54873
1810030O07Rik	14.3006	16.0519	16.0157	17.5177	16.3241	13.7665	14.7815	17.8075	16.7578	15.5354	0.001	12.8572	14.032	10.3397
1810032O08Rik	5.64575	3.72263	1.11225	1.17193	0.639561	2.80932	0.994607	2.15356	3.60137	2.81415	0.001	2.63742	6.87606	8.82671
1810033B17Rik	39.9307	29.376	17.8872	10.5213	10.1619	15.4146	5.76156	4.37212	20.5161	9.01283	0.001	24.8673	44.916	43.4558
1810034E14Rik	0.947171	1.67358	2.24926	1.68094	1.67198	2.22506	1.25479	2.38615	3.21523	2.12765	0.001	2.24055	2.39723	1.61509
1810035I16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810037I17Rik	60.3352	43.4295	51.1642	41.8326	57.5027	47.1842	34.0809	45.6353	44.8569	43.9602	285.942	55.0515	50.0421	63.2914
1810041L15Rik	0.001	0.001	0.001	0.0192572	0.001	0.0981115	0.001	0.0427191	0.001	0.0504124	0.001	0.136968	0.001	0.00612848
1810043G02Rik	4.47274	4.66163	9.01468	9.19669	8.98248	16.5332	12.5186	11.9242	14.049	9.85906	0.001	10.0937	6.62222	4.99656
1810043H04Rik	7.82948	30.9579	21.4782	31.3512	20.9957	24.2554	20.6732	14.1524	16.8939	20.1001	0.001	31.431	26.5729	14.782
1810044D09Rik	1.20354	1.81416	1.39656	1.32365	2.61555	2.96025	4.45685	2.55298	1.78687	3.02997	0.001	4.83008	6.53583	2.74448
1810046K07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.183449
1810053B23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810055G02Rik	4.21434	6.71331	3.95505	5.38703	5.74513	4.60808	4.58889	2.56193	2.87069	4.16947	0.001	3.81516	4.94551	6.09776
1810058I24Rik	43.3764	72.5056	72.2851	74.2023	86.1285	110.073	95.2	74.4124	97.53	82.2452	0.001	104.657	67.6729	54.3213
1810062G17Rik	0.346086	0.38481	0.001	0.001	0.001	0.421997	0.129275	0.001	0.001	0.001	0.001	0.349784	0.805997	0.0945146
1810062O18Rik	0.001	0.001	0.194098	0.184903	0.001	0.001	0.248028	0.171381	0.0959916	0.165494	0.001	0.001	0.60116	0.001
1810064F22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1810065E05Rik	0.001	0.001	0.150276	0.001	0.001	0.0828375	0.001	0.001	0.294452	0.001	0.001	0.001	0.527278	0.13916
2010001E11Rik	0.001	0.001	0.001	0.001	0.001	0.0296084	0.0899714	0.0814717	0.0782513	0.001	0.001	0.371016	0.140357	0.166282
2010001M06Rik	0.001	0.001	0.001	0.001	0.001	0.756083	0.001	0.001	0.170918	0.001	0.001	0.771939	0.001	0.001
2010002M12Rik	1.07043	0.0889677	0.468933	0.172726	0.11914	0.0882206	0.304862	0.677037	0.344856	0.135965	0.001	0.451024	0.479529	0.567327
2010003K11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2010003O02Rik	3.96998	11.1013	15.5063	8.24667	12.6578	27.4785	21.6127	23.496	20.7578	35.1476	0.001	55.1989	22.0923	27.3038
2010005H15Rik	5.02865	0.106652	0.309919	0.980356	0.355112	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.631674	0.0809158
2010009K17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0870401
2010010A06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2010012O05Rik	3.85565	2.77889	3.26532	4.60514	3.95386	3.74592	4.81511	5.32693	4.15359	4.32882	0.001	4.43213	2.83684	2.57684
2010015L04Rik	0.606751	0.192334	0.668028	0.160266	0.391831	0.713632	0.269238	0.602126	0.573215	0.539187	0.001	1.63509	1.39178	0.739922
2010016I18Rik	0.001	0.001	0.165016	0.001	0.0457225	0.001	0.0343396	0.106645	0.0796627	0.001	0.001	0.001	0.464166	0.278375
2010106C02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2010106E10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2010107E04Rik	324.56	307.076	306.036	336.622	441.67	311.629	275.752	284.728	236.131	277.877	0.001	387.862	224.806	221.629
2010107G12Rik	0.001	0.001	0.001	0.001	0.001	0.0314984	0.0478707	0.0247713	0.001	0.001	0.001	0.131531	0.124461	0.0176878
2010107G23Rik	0.001	0.001	0.001	0.001	0.001	0.0401064	0.001	0.0315861	0.0707849	0.0617846	0.001	0.001	0.285578	0.135066
2010109A12Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.664081	0.001
2010109I03Rik	0.150075	0.001	0.001	0.001	0.001	0.0364656	0.001	0.20091	0.001	0.0561804	0.001	0.001	0.201856	0.122829
2010111I01Rik	6.57129	6.26538	8.25108	9.05957	8.17006	4.97126	5.87636	6.26414	3.6294	4.07667	0.001	4.78721	2.48644	3.48929
2010204K13Rik	1.56206	1.73962	2.05403	1.6768	1.99109	2.16588	1.09668	0.943057	0.593326	1.26518	0.001	0.394392	1.59516	1.26613
2010300C02Rik	0.0616164	0.0271237	0.110125	0.001	0.001	0.0747359	0.0113306	0.0937812	0.0262731	0.161272	0.001	0.312823	0.259305	0.168023
2010308F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.166952	0.001
2010310C07Rik	0.001	0.001	0.001	0.001	0.376305	0.277901	0.14206	0.001	0.001	0.142544	0.001	1.15038	0.001	0.155533
2010315B03Rik	0.926764	0.0695956	0.516451	0.78525	0.627936	0.12776	0.510657	2.73208	1.11308	2.45134	0.001	0.829063	0.616658	0.678508
2010320M18Rik	3.11445	2.78033	3.13711	3.92214	5.30209	4.23938	5.18013	4.24334	5.33547	5.85243	0.001	8.53011	3.73183	4.01176
2200002D01Rik	1.50665	3.57054	0.328365	0.311426	2.07504	1.66603	1.43902	0.298745	2.84378	1.99004	0.001	9.83318	5.22507	0.412206
2200002J24Rik	0.001	0.389914	0.254156	0.724894	0.144412	0.283878	0.219277	0.001	0.001	0.654559	0.001	0.001	0.001	0.001
2210010C04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.265185	0.200759	0.001
2210013O21Rik	7.84523	5.32221	9.40801	11.9614	6.01679	13.3081	12.2986	14.1909	23.7657	18.0945	0.001	31.3246	16.1909	11.8364
2210015D19Rik	3.62566	2.48722	5.15288	2.76047	3.00184	2.24946	1.79639	1.9774	3.20783	2.9457	0.001	2.18988	3.43956	2.12565
2210016F16Rik	16.0527	28.1305	21.0124	22.3213	17.847	26.8518	15.5769	11.9451	19.0389	13.5387	0.001	17.7711	19.3338	9.39333
2210016L21Rik	7.38103	15.8459	12.5186	15.6663	12.5837	21.4965	17.6766	18.0013	18.8698	15.5052	0.001	18.5737	17.0395	11.7204
2210018M11Rik	4.09734	3.84463	3.51074	3.10418	2.72308	2.4118	4.52211	5.63744	6.47493	3.89313	0.001	3.54624	3.34163	4.58843
2210019I11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2210039B01Rik	3.10248	1.18055	3.99279	1.43719	1.50574	4.75128	0.825473	0.740978	3.18231	2.49356	0.001	6.127	17.3208	8.08328
2210404J11Rik	7.52282	4.54053	9.00362	7.08451	8.98706	7.94913	5.73798	9.86376	6.33934	9.93103	0.001	7.83473	3.34902	5.73475
2210404O07Rik	4.08734	5.51007	7.15779	8.8927	6.74737	16.649	8.70839	9.03424	13.5836	19.6634	0.001	25.3054	12.1342	8.76991
2210404O09Rik	0.911401	0.360529	0.821906	0.482684	0.835289	0.18319	0.494877	3.14894	0.914639	1.39564	0.001	0.318778	0.156813	0.400069
2210407C18Rik	0.001	0.001	0.001	0.304836	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0493755
2210408F21Rik	0.681455	1.48706	0.934579	4.58695	2.85229	1.66111	2.60048	3.07049	0.233115	2.75115	0.001	2.93382	1.5037	2.13254
2210408I21Rik	0.407459	0.0237793	0.598544	0.346377	0.443097	0.239881	0.393324	1.22694	0.350441	0.907198	0.001	0.0548722	0.0931349	0.318205
2210409D07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2210409E12Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2210414B05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.136144	0.0705279	0.001	0.001	0.001	0.001	0.001	0.001
2210416O15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0722759	0.001	0.001	0.001	0.001
2210417A02Rik	0.66951	1.20519	0.292691	0.277914	0.334517	0.985542	0.509194	0.396262	0.443798	1.0095	0.001	0.673133	0.52842	0.457785
2210417K05Rik	0.657597	1.18323	1.15042	0.546259	0.492683	3.22597	1.24951	0.777864	0.725989	0.495689	0.001	0.66128	1.29675	0.899238
2210420H20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2300002M23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2300003K06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2300005B03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2300009A05Rik	4.46642	4.94469	4.4375	7.6914	6.82955	10.3592	7.78097	5.02964	4.32329	10.9889	0.001	6.594	12.5256	6.35042
2310001H17Rik	6.06139	6.3318	3.07421	2.38946	1.75266	3.41652	2.42401	5.34617	7.42536	5.06861	0.001	4.20604	19.0484	8.85602
2310001K24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310002D06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310002F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0147558
2310002J15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310002L09Rik	0.0732109	0.001	0.0652227	0.001	0.001	0.001	0.001	0.001	0.35248	0.10962	0.001	0.001	0.001	0.0399456
2310003H01Rik	3.09183	9.11931	3.8724	4.66285	3.08243	5.33594	5.5349	4.00893	5.43668	4.176	0.001	5.57896	5.00047	4.25125
2310005A03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310005E17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310005G13Rik	0.001	0.001	0.001	0.001	0.001	0.0216202	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.255093
2310007B03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310007L24Rik	0.001	0.001	0.001	0.001	0.001	0.201988	0.001	0.0803536	0.180031	0.001	0.001	0.001	0.3222	0.001
2310008H04Rik	8.01596	4.23035	6.1138	6.67595	5.95224	4.01225	4.41203	5.98081	3.76099	6.58956	0.001	4.91574	4.78109	5.08959
2310008H09Rik	2.92602	3.73204	4.88363	6.06744	4.58901	5.54195	7.0613	6.91769	5.95924	5.67998	0.001	4.45204	3.73457	3.47666
2310008N11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0883478
2310009A05Rik	14.1788	8.90048	16.8041	11.7036	22.7058	20.5314	13.1158	25.981	23.6618	14.8704	0.001	25.296	26.4284	20.7995
2310009B15Rik	4.76248	13.5568	6.94855	13.994	15.6899	17.5929	11.0865	9.37638	20.0229	7.8954	0.001	8.3042	16.5097	13.8053
2310010J17Rik	2.39663	1.64974	2.05853	1.94221	3.34457	2.97312	0.603253	2.6837	1.36601	6.36976	0.001	13.1494	4.86486	2.28799
2310010M20Rik	0.001	0.001	0.156129	0.198908	0.11572	0.137498	0.0652697	0.0294591	0.0302888	0.0878504	0.001	0.001	0.318045	0.0538496
2310011J03Rik	15.8257	19.7224	26.1697	27.9723	16.579	14.6312	18.143	12.5866	25.3116	22.4092	0.001	36.2873	14.5399	10.8305
2310014F07Rik	0.676825	0.001	0.360164	0.001	0.133782	0.06593	0.001	0.052148	0.001	0.001	0.001	0.001	0.001	0.001
2310014L17Rik	0.168194	0.148198	0.112635	0.0359545	0.103361	0.0816363	0.0464502	0.0160208	0.0359055	0.0943615	0.001	0.512157	0.112736	0.149079
2310015A10Rik	0.552458	0.826668	0.962926	1.13542	0.434222	0.65661	0.568715	0.420268	0.835955	1.07406	0.001	1.29034	1.09872	1.03192
2310015B20Rik	0.462795	0.001	0.001	0.001	0.001	0.456454	0.001	0.185423	0.207638	1.05037	0.001	2.78069	0.740375	0.380112
2310015D24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0401275	0.001	0.001	0.001	0.001	0.001
2310016D03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310020H05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310022A10Rik	51.2986	51.2784	64.9773	42.2575	53.8772	31.7166	32.9306	22.9655	27.2148	23.6668	0.001	15.8435	15.0284	24.9448
2310022B05Rik	3.12655	5.7087	3.48986	5.06592	4.40882	3.89354	4.58952	4.5607	5.12825	4.03121	35.6117	7.43287	4.91565	3.71362
2310030A07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0792214
2310030G06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0445352	0.001	0.001	0.001	0.001	0.001	0.13889	0.001
2310033P09Rik	3.60105	8.56218	4.90252	6.82229	5.86731	10.8096	8.24676	7.1545	13.1878	6.47838	0.001	8.26386	12.0947	12.0568
2310034C09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310034G01Rik	0.001	0.277064	0.365529	0.174172	0.719351	1.11273	0.232992	0.241457	0.360652	0.155631	0.001	0.418237	0.564772	0.396119
2310034O05Rik	0.001	0.001	0.001	0.116089	0.203246	0.133546	0.10201	0.001	0.001	0.102806	0.001	0.001	0.001	0.001
2310035C23Rik	4.56339	2.44279	2.95513	3.32939	2.56852	1.51119	3.04615	4.51133	3.41589	4.70303	0.001	3.80783	3.2911	6.63859
2310036O22Rik	47.763	165.575	60.4442	57.5025	129.983	155.216	106.37	97.0718	139.172	48.3882	0.001	61.7234	170.584	101.01
2310039H08Rik	6.36712	21.962	10.483	9.98865	18.3264	22.9104	15.128	7.01399	10.2607	7.0173	0.001	9.42619	17.1213	7.71196
2310039L15Rik	1.99397	1.45326	1.62278	2.37197	0.874936	0.595566	0.969798	0.670434	0.10375	1.11916	0.001	1.08958	0.953972	1.36731
2310040G24Rik	1.76435	0.943493	2.23911	1.06679	1.86034	3.22594	3.17417	5.81408	4.25779	5.72255	0.001	6.83317	3.49515	3.90934
2310042D19Rik	1.0195	0.510848	0.816553	0.872365	0.535578	0.307061	0.685578	0.468424	0.719888	0.762485	0.001	0.356911	0.309478	0.680675
2310042E22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.466691	0.001	0.001
2310043L19Rik	0.001	0.001	0.213019	0.001	0.240615	0.118351	0.001	0.001	0.211575	0.364034	0.001	0.001	0.001	0.001
2310043O21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310044G17Rik	14.3927	12.7258	20.2215	16.4496	20.2885	8.38725	12.6891	9.2342	7.45972	8.76375	28.3509	3.13921	5.28054	7.92111
2310045N01Rik	11.2631	22.8785	30.6633	22.9715	24.9743	59.253	37.3739	31.7807	50.3295	27.4569	0.001	28.6432	54.5263	27.311
2310047M10Rik	8.84027	12.1684	7.66156	11.5649	9.79857	10.0895	10.7387	12.1422	17.0238	11.8203	0.001	20.8051	17.7516	17.2061
2310050B05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310050C09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310057J18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310057M21Rik	2.01824	3.84028	1.74311	1.66822	2.04881	1.89944	1.81561	1.879	2.83433	1.51056	0.001	1.15151	2.75972	2.46023
2310057N15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310061I04Rik	4.56557	12.9884	7.36055	6.93047	11.449	19.4169	15.4828	12.5206	13.9249	9.45644	0.001	10.2177	14.2862	11.2153
2310061J03Rik	0.436023	0.772098	0.678026	1.11087	1.7212	1.59119	1.45557	1.08841	2.48593	1.47035	0.001	3.09122	1.42919	0.892473
2310061N02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310065F04Rik	0.0505065	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.113368	0.001	0.001	0.0193612	0.001
2310067B10Rik	2.48866	8.06674	5.93225	7.35651	6.87473	9.32039	11.3917	8.95607	10.025	8.06369	23.0631	4.78282	8.98507	7.35523
2310068J16Rik	0.135082	0.539218	0.119806	0.001	0.0667504	0.131583	0.100496	0.156112	0.0583023	0.202595	0.001	0.001	0.208916	0.0737515
2310069B03Rik	0.077558	0.001	0.138148	0.001	0.001	0.037694	0.0860082	0.0296743	0.0997515	0.232285	0.001	0.001	0.001	0.0846389
2310069G16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310079G19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310081J21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0652247	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2310081J21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0652247	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2410002F23Rik	6.40055	4.86654	3.99212	4.6685	3.46687	4.42309	3.73035	2.47422	5.9714	4.47212	0.001	7.78857	20.38	10.8841
2410003L11Rik	0.001	0.001	0.50609	0.240584	0.575031	0.706496	0.327401	0.001	0.126778	0.434411	0.001	1.74272	0.113299	0.473202
2410004B18Rik	13.7077	9.34827	8.18496	8.88842	11.0416	4.97292	4.87481	8.62125	8.76187	9.08997	0.001	10.3147	7.47556	13.4051
2410004I01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.317253	0.001
2410004N09Rik	10.652	1.30965	4.98502	4.32238	8.30224	12.0788	4.5141	10.7401	14.6068	14.3278	0.001	21.437	52.5502	37.0626
2410004P03Rik	0.243297	0.001	0.288843	0.276284	0.359633	0.542226	0.4199	0.393628	0.626159	0.533218	0.001	0.493264	1.04043	0.376191
2410006H16Rik	61.3142	49.6762	29.0727	18.9496	30.8088	82.2532	30.7659	98.6332	184.151	129.192	0.001	169.105	352.008	288.042
2410007B07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2410012E07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
2410012M07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
