Ligand      (Entrez ID)	Receptor (Entrez ID)	Ligand (Symbol)	Receptor (Symbols)	miScore from iRefWeb	Confidence from iRefWeb
4282	972	MIF	CD74	0.861	low
4295	2862	MLN	MLNR	0.788	high
4485	4486	MST1	MST1R	-	NA
2660	93	MSTN	ACVR2B	1	low
10135	29982	NAMPT	NRBF2	0.191	low
10135	135	NAMPT	ADORA2A	0.28	low
4693	8322	NDP	FZD4	0.89	high
4693	4041	NDP	LRP5	0.719	low
4803	4804	NGF	NGFR	0.993	high
4803	4914	NGF	NTRK1	1	high
4803	6272	NGF	SORT1	0.798	high
4803	22986	NGF	SORCS3	0.778	low
4803	4919	NGF	ROR1	0.998	low
4828	4829	NMB	NMBR	0.767	high
4838	7068	NODAL	THRB	-	NA
4856	3688	NOV	ITGB1	0.84	high
4856	3678	NOV	ITGA5	0.719	low
4856	3685	NOV	ITGAV	0.719	low
4856	3690	NOV	ITGB3	0.431	low
4856	4851	NOV	NOTCH1	0.55	low
8620	10886	NPFF	NPFFR2	0.482	high
8620	64106	NPFF	NPFFR1	0.431	low
4878	3172	NPPA	HNF4A	0.191	low
4878	4881	NPPA	NPR1	0.28	low
4878	4882	NPPA	NPR2	0.431	low
4878	4883	NPPA	NPR3	0.431	low
4878	6096	NPPA	RORB	0.191	low
4879	4881	NPPB	NPR1	0.591	high
4879	4882	NPPB	NPR2	0.431	low
4879	4883	NPPB	NPR3	0.431	low
4880	4882	NPPC	NPR2	0.591	high
4880	4883	NPPC	NPR3	0.431	low
4852	4886	NPY	NPY1R	0.778	high
3084	2065	NRG1	ERBB3	0.998	high
3084	2066	NRG1	ERBB4	0.798	high
3084	1956	NRG1	EGFR	0.861	low
3084	2064	NRG1	ERBB2	0.957	low
9542	2066	NRG2	ERBB4	0.999	high
9542	2065	NRG2	ERBB3	0.957	low
10718	2066	NRG3	ERBB4	0.998	low
145957	2066	NRG4	ERBB4	0.28	low
4902	2674	NRTN	GFRA1	0.992	high
4902	2675	NRTN	GFRA2	0.996	high
4902	5979	NRTN	RET	0.431	low
4908	4915	NTF3	NTRK2	0.997	high
4908	4916	NTF3	NTRK3	1	high
4908	4804	NTF3	NGFR	0.431	low
4908	4914	NTF3	NTRK1	0.995	low
4909	4804	NTF4	NGFR	0.482	high
4909	4915	NTF4	NTRK2	1	high
4922	4923	NTS	NTSR1	0.431	low
4969	25	OGN	ABL1	0.36	low
5008	3572	OSM	IL6ST	0.84	high
5008	3977	OSM	LIFR	0.705	high
5008	9180	OSM	OSMR	0.591	high
5020	5021	OXT	OXTR	0.644	low
5154	5156	PDGFA	PDGFRA	0.84	high
5155	5156	PDGFB	PDGFRA	0.591	high
5155	5159	PDGFB	PDGFRB	0.84	high
5155	4035	PDGFB	LRP1	0.431	low
56034	5156	PDGFC	PDGFRA	0.767	high
5196	2532	PF4	DARC	0.28	low
5196	2833	PF4	CXCR3	1	low
5196	3949	PF4	LDLR	0.431	low
5196	7056	PF4	THBD	0.431	low
5197	147	PF4V1	ADRA1B	0.644	low
5197	2147	PF4V1	F2	0.931	low
5197	2550	PF4V1	GABBR1	0.644	low
5197	3673	PF4V1	ITGA2	0.644	low
5197	3693	PF4V1	ITGB5	0.644	low
5197	3848	PF4V1	KRT1	0.997	low
5197	4995	PF4V1	OR3A2	0.719	low
5197	254879	PF4V1	OR2T6	0.644	low
5197	283160	PF4V1	OR8D2	0.719	low
5197	6262	PF4V1	RYR2	0.719	low
5197	6510	PF4V1	SLC1A5	0.644	low
5197	79139	PF4V1	DERL1	0.719	low
5197	8202	PF4V1	NCOA3	0.719	low
5197	9967	PF4V1	THRAP3	0.644	low
5228	2321	PGF	FLT1	0.925	high
5228	8828	PGF	NRP2	0.55	low
5228	8829	PGF	NRP1	0.644	low
5328	5329	PLAU	PLAUR	-	NA
5367	2847	PMCH	MCHR1	0.482	high
5367	84539	PMCH	MCHR2	0.807	high
5368	4987	PNOC	OPRL1	0.798	high
5443	4157	POMC	MC1R	0.705	high
5443	4160	POMC	MC4R	0.854	high
5443	4161	POMC	MC5R	0.705	high
5443	3125	POMC	HLA-DRB3	0.28	low
5443	4158	POMC	MC2R	0.28	low
5443	4159	POMC	MC3R	0.431	low
5443	7448	POMC	VTN	0.431	low
5473	3577	PPBP	CXCR1	1	high
5473	3579	PPBP	CXCR2	1	high
5473	147	PPBP	ADRA1B	0.644	low
5473	2147	PPBP	F2	0.931	low
5473	2550	PPBP	GABBR1	0.644	low
5473	3575	PPBP	IL7R	0.191	low
5473	3673	PPBP	ITGA2	0.644	low
5473	3693	PPBP	ITGB5	0.644	low
5473	3848	PPBP	KRT1	0.997	low
5473	4995	PPBP	OR3A2	0.719	low
5473	254879	PPBP	OR2T6	0.644	low
5473	283160	PPBP	OR8D2	0.719	low
5473	6262	PPBP	RYR2	0.719	low
5473	6510	PPBP	SLC1A5	0.644	low
5473	79139	PPBP	DERL1	0.719	low
5473	8202	PPBP	NCOA3	0.719	low
5473	9967	PPBP	THRAP3	0.644	low
5539	5540	PPY	PPYR1	0.28	low
5617	5618	PRL	PRLR	0.28	low
51052	2834	PRLH	PRLHR	0.705	high
5623	5979	PSPN	RET	0.591	high
5623	64096	PSPN	GFRA4	1	high
5741	5745	PTH	PTH1R	0.55	low
5741	5746	PTH	PTH2R	0.55	low
5744	5745	PTHLH	PTH1R	0.431	low
5744	696	PTHLH	BTN1A1	0.28	low
5764	238	PTN	ALK	0.676	high
5764	5803	PTN	PTPRZ1	0.591	high
5764	23654	PTN	PLXNB2	0.28	low
5764	5802	PTN	PTPRS	0.28	low
5697	4886	PYY	NPY1R	0.28	low
5697	4887	PYY	NPY2R	0.55	low
5697	4889	PYY	NPY5R	0.55	low
5697	5540	PYY	PPYR1	0.55	low
9135	5784	RABEP1	PTPN14	0.28	low
9135	51599	RABEP1	LSR	0.28	low
9135	65055	RABEP1	REEP1	0.28	low
6013	59350	RLN1	RXFP1	0.644	low
6019	122042	RLN2	RXFP2	0.676	high
6019	59350	RLN2	RXFP1	0.482	high
117579	59350	RLN3	RXFP1	0.705	high
117579	339403	RLN3	RXFP4	0.55	low
92304	8685	SCGB3A1	MARCO	0.55	low
6343	6344	SCT	SCTR	0.816	high
6343	7433	SCT	VIPR1	0.431	low
6398	924	SECTM1	CD7	0.431	low
6469	8643	SHH	PTCH2	-	NA
6696	3678	SPP1	ITGA5	0.705	high
6696	3680	SPP1	ITGA9	0.591	high
6696	3685	SPP1	ITGAV	0.767	high
6696	3688	SPP1	ITGB1	0.767	high
6696	3690	SPP1	ITGB3	0.591	high
6696	2147	SPP1	F2	0.28	low
6696	3693	SPP1	ITGB5	0.431	low
6696	3694	SPP1	ITGB6	0.431	low
6696	7448	SPP1	VTN	0.28	low
6750	6751	SST	SSTR1	0.28	low
6750	6752	SST	SSTR2	0.28	low
6750	6753	SST	SSTR3	0.55	low
6750	6754	SST	SSTR4	0.28	low
6750	6755	SST	SSTR5	0.28	low
6997	130399	TDGF1	ACVR1C	0.28	low
6997	91	TDGF1	ACVR1B	0.55	low
6997	1956	TDGF1	EGFR	-	NA
7038	4036	TG	LRP2	0.431	low
7039	1956	TGFA	EGFR	0.816	high
7039	2064	TGFA	ERBB2	0.644	low
7039	2066	TGFA	ERBB4	0.644	low
7040	2022	TGFB1	ENG	0.948	high
7040	7046	TGFB1	TGFBR1	1	high
7040	7048	TGFB1	TGFBR2	1	high
7040	7049	TGFB1	TGFBR3	0.981	high
7040	94	TGFB1	ACVRL1	1	high
7040	2280	TGFB1	FKBP1A	0.431	low
7040	3685	TGFB1	ITGAV	0.28	low
7040	3694	TGFB1	ITGB6	0.28	low
7040	3696	TGFB1	ITGB8	0.778	low
7040	4052	TGFB1	LTBP1	0.431	low
7040	7448	TGFB1	VTN	0.431	low
7040	8425	TGFB1	LTBP4	0.28	low
7042	7049	TGFB2	TGFBR3	0.948	high
7042	7046	TGFB2	TGFBR1	1	low
7042	7048	TGFB2	TGFBR2	1	low
7042	7448	TGFB2	VTN	0.431	low
7043	7046	TGFB3	TGFBR1	1	high
7043	7048	TGFB3	TGFBR2	1	high
7043	3685	TGFB3	ITGAV	0.28	low
7043	3694	TGFB3	ITGB6	0.778	low
7043	94	TGFB3	ACVRL1	1	low
7066	4352	THPO	MPL	0.482	high
7124	7132	TNF	TNFRSF1A	0.999	high
7124	7133	TNF	TNFRSF1B	0.999	high
7124	7186	TNF	TRAF2	0.952	high
7124	355	TNF	FAS	0.36	low
7124	4055	TNF	LTBR	0.55	low
7124	5803	TNF	PTPRZ1	0.191	low
4982	8600	TNFRSF11B	TNFSF11	0.676	high
4982	7448	TNFRSF11B	VTN	0.28	low
8743	8793	TNFSF10	TNFRSF10D	0.676	high
8743	8795	TNFSF10	TNFRSF10B	0.996	high
8743	8797	TNFSF10	TNFRSF10A	0.917	high
8743	8794	TNFSF10	TNFRSF10C	0.28	low
8600	4982	TNFSF11	TNFRSF11B	0.676	high
8600	8792	TNFSF11	TNFRSF11A	0.28	low
8742	51330	TNFSF12	TNFRSF12A	0.482	high
8742	8718	TNFSF12	TNFRSF25	0.55	low
8741	355	TNFSF13	FAS	0.431	low
8741	4982	TNFSF13	TNFRSF11B	0.431	low
8741	608	TNFSF13	TNFRSF17	0.28	low
8741	7132	TNFSF13	TNFRSF1A	0.55	low
8741	23495	TNFSF13	TNFRSF13B	0.644	low
8741	8764	TNFSF13	TNFRSF14	0.55	low
10673	115650	TNFSF13B	TNFRSF13C	0.482	high
10673	23495	TNFSF13B	TNFRSF13B	0.968	high
10673	608	TNFSF13B	TNFRSF17	0.732	high
8740	4055	TNFSF14	LTBR	0.998	high
8740	8764	TNFSF14	TNFRSF14	0.987	high
8740	8771	TNFSF14	TNFRSF6B	0.917	high
8740	7186	TNFSF14	TRAF2	0.431	low
9966	8718	TNFSF15	TNFRSF25	0.999	low
9966	8771	TNFSF15	TNFRSF6B	0.946	low
8995	8784	TNFSF18	TNFRSF18	0.935	high
7292	7293	TNFSF4	TNFRSF4	0.854	high
944	943	TNFSF8	TNFRSF8	0.591	high
8744	3604	TNFSF9	TNFRSF9	0.705	high
8744	7185	TNFSF9	TRAF1	0.591	high
8744	7186	TNFSF9	TRAF2	0.431	low
7200	7201	TRH	TRHR	0.591	high
7252	7253	TSHB	TSHR	0.861	low
85480	3575	TSLP	IL7R	0.28	low
85480	64109	TSLP	CRLF2	0.28	low
7276	147	TTR	ADRA1B	0.778	low
7276	177	TTR	AGER	0.644	low
7276	2147	TTR	F2	0.719	low
7276	2260	TTR	FGFR1	0.28	low
7276	2550	TTR	GABBR1	0.719	low
7276	3575	TTR	IL7R	0.191	low
7276	3673	TTR	ITGA2	0.644	low
7276	3693	TTR	ITGB5	0.719	low
7276	3848	TTR	KRT1	0.946	low
7276	4036	TTR	LRP2	0.431	low
7276	4995	TTR	OR3A2	0.719	low
7276	6261	TTR	RYR1	0.431	low
7276	6262	TTR	RYR2	0.719	low
7276	6510	TTR	SLC1A5	0.644	low
7276	254879	TTR	OR2T6	0.719	low
7276	283160	TTR	OR8D2	0.824	low
7276	64221	TTR	ROBO3	0.55	low
7276	79139	TTR	DERL1	0.719	low
7276	8202	TTR	NCOA3	0.719	low
7276	8425	TTR	LTBP4	0.28	low
7276	84867	TTR	PTPN5	0.28	low
7276	9967	TTR	THRAP3	0.644	low
7276	780	TTR	DDR1	0.28	low
1890	2348	TYMP	FOLR1	0.191	low
7349	1394	UCN	CRHR1	0.874	high
7349	1395	UCN	CRHR2	0.885	high
90226	1395	UCN2	CRHR2	0.744	high
90226	3588	UCN2	IL10RB	0.28	low
114131	1395	UCN3	CRHR2	0.676	high
114131	1394	UCN3	CRHR1	0.28	low
114131	3588	UCN3	IL10RB	0.431	low
10911	2837	UTS2	UTS2R	0.28	low
257313	2837	UTS2D	UTS2R	0.431	low
7422	2321	VEGFA	FLT1	0.969	high
7422	3791	VEGFA	KDR	0.996	high
7422	8829	VEGFA	NRP1	0.998	high
7422	2048	VEGFA	EPHB2	0.28	low
7422	3680	VEGFA	ITGA9	0.28	low
7422	3688	VEGFA	ITGB1	0.28	low
7422	6405	VEGFA	SEMA3F	0.431	low
7422	7448	VEGFA	VTN	0.431	low
7422	8828	VEGFA	NRP2	0.644	low
7423	2321	VEGFB	FLT1	0.676	high
7423	8829	VEGFB	NRP1	0.55	low
7424	2324	VEGFC	FLT4	0.885	high
7424	3791	VEGFC	KDR	0.816	high
7424	3680	VEGFC	ITGA9	0.28	low
7424	3688	VEGFC	ITGB1	0.28	low
7424	8828	VEGFC	NRP2	0.431	low
7424	8829	VEGFC	NRP1	0.431	low
7432	7433	VIP	VIPR1	0.955	high
7432	7434	VIP	VIPR2	0.955	high
7471	4040	WNT1	LRP6	0.676	high
7471	6259	WNT1	RYK	0.778	high
7471	8325	WNT1	FZD8	0.994	high
7471	8326	WNT1	FZD9	0.966	high
7471	4041	WNT1	LRP5	0.55	low
7471	6422	WNT1	SFRP1	0.644	low
7471	6423	WNT1	SFRP2	0.778	low
7472	6422	WNT2	SFRP1	0.719	low
7472	8321	WNT2	FZD1	0.957	low
7472	8326	WNT2	FZD9	0.973	low
7473	8321	WNT3	FZD1	-	NA
7473	8324	WNT3	FZD7	-	NA
7473	8322	WNT3	FZD4	-	NA
54361	8323	WNT4	FZD6	-	NA
7474	4920	WNT5A	ROR2	0.55	high
7474	4919	WNT5A	ROR1	0.28	low
7474	7855	WNT5A	FZD5	0.979	low
7474	8321	WNT5A	FZD1	0.957	low
7474	2535	WNT5A	FZD2	-	NA
7476	7855	WNT7A	FZD5	0.987	high
7476	8326	WNT7A	FZD9	0.983	high
7476	8324	WNT7A	FZD7	-	NA
7477	8321	WNT7B	FZD1	-	NA
7477	11211	WNT7B	FZD10	-	NA
6375	2829	XCL1	XCR1	0.482	high
6846	2829	XCL2	XCR1	0.28	low
