SPOT	Gene Symbol	0h	0.5h	3h	6h	12h
3929	PRG2	-0.015	0.008	0.034	-0.13	0.134
3930	LY6G5B	0.039	0.145	0.119	-0.283	0.077
3931	MGST1	0.364	0.392	0.503	0.593	0.133
3932	CHML	-0.255	0.164	-0.169	-0.188	-0.339
3933	RNF3	0.019	0.22	0.122	0.324	0.364
3934	MRPL48	0.058	0.054	0.033	-0.243	-0.277
3935		-0.377	0.232	-0.272	-0.149	0.172
3936		-0.398	-0.325	-0.373	-0.479	-0.316
3937	VCY2IP1	0.036	-0.099	0.66	-0.092	-0.082
3938	PPL13	-0.463	-0.256	-0.29	-0.359	-0.401
3939		-0.506	-0.218	-0.207	-0.186	-0.234
3940	TPR	-0.059	0.144	0.016	0.019	-0.061
3941	SMN2	0.149	0.395	0.325	0.266	0.277
3942	RBBP6	-0.04	0.341	0.399	0.365	-0.001
3943	LPP	0.124	0.282	0.2	0.089	0.184
3944	ZNF42	0.328	-0.049	0.089	-0.05	0.074
3945	WNT5B	0.261	0.166	0.356	0.264	0.224
3946	MASA	0.051	0.128	-0.06	-0.381	-0.156
3947	TM4SF5	-0.184	-0.016	-0.043	-0.178	0.166
3948	KLK5	-0.052	-0.056	-0.09	-0.022	0.213
3949	CRSP2	-0.149	0.387	0.144	-0.06	-0.062
3950		-0.525	-0.494	-0.62	-0.408	-0.505
3951	FLJ14054	-0.651	-0.454	-0.562	-0.582	-0.666
3952		-0.623	-0.59	-0.46	-0.32	-0.51
3953		-0.074	-0.276	-0.084	0.001	-0.103
3954	FBXW2	0.022	0.201	0.135	-0.115	0.021
3955	C10orf3	-0.215	0.266	0.075	-0.2	-0.288
3956	PLA2R1	-0.16	-0.13	-0.094	-0.268	-0.076
3957		-0.1	0.034	0.146	0.045	-0.154
3958		-0.423	-0.493	-0.289	-0.157	-0.241
3959		-0.579	-0.493	-0.395	-0.478	-0.374
3960		-0.125	0.244	0.08	-0.135	-0.102
3961	FLJ37440	0.026	-0.07	-0.191	-0.293	-0.171
3962	STAT5B	0.005	-0.027	0.057	-0.01	-0.024
3963		-0.029	0.066	-0.201	-0.652	-0.164
3964	FLJ10716	0.103	0.092	-0.407	-0.424	-0.348
3965	KIAA0876	0.248	-0.208	-0.289	-0.454	-0.402
3966	FLJ20445	-0.432	-0.146	0.222	0.087	-0.1
3967		-0.192	-0.394	-0.179	-0.244	-0.162
3968	KIAA1971	-0.024	0.056	0.575	0.687	0.556
3969	SBBI31	-0.346	-0.303	-0.557	-0.563	-0.386
3970	DOC-1R	0.155	-0.311	0.222	-0.174	-0.449
3971	LIP8	-0.106	-0.105	0.044	0	0.055
3972		0.273	0.103	0.012	-0.212	-0.121
3973		0.187	0.023	0.008	-0.109	0.155
3974	CTSS	-1.015	-0.521	-0.654	-0.651	-0.373
3975		-0.145	-0.126	-0.041	-0.314	-0.03
3976	RANBP16	-0.353	0.2	0.214	0.459	-0.007
3977		-0.34	-0.19	-0.201	-0.353	-0.249
3978		-0.095	-0.382	-0.208	-0.165	-0.429
3979	COL17A1	-0.362	-0.459	-0.232	-0.071	-0.345
3980		-0.139	0.473	0.253	0.143	-0.173
3981		-0.212	-0.19	-0.148	-0.102	-0.039
3982	KIAA0781	-0.283	0.015	-0.172	0.484	0.098
3983	KIAA0356	-0.262	-0.384	-0.154	0.074	-0.157
3984	C1orf15	-0.72	-0.745	-0.109	-0.135	-0.602
3985		-0.049	-0.152	0.076	-0.096	0.118
3986		-1.105	-0.539	-0.503	-0.489	-0.556
3987	CEPT1	0.072	0.01	-0.044	0.249	0.033
3988	LOC51077	-0.02	0.058	-0.037	-0.101	-0.135
3989		-0.638	-0.524	-0.454	-0.538	-0.494
3990		-0.365	-0.363	-0.414	-0.369	-0.379
3991	GABBR1	-0.787	-0.366	-0.443	-0.562	-0.603
3992		-0.307	-0.364	-0.359	-0.041	-0.221
3993		-0.434	-0.239	-0.003	-0.147	-0.141
3994		-1.135	-0.993	-0.919	-0.909	-0.973
3995	PAPOLA	0.185	0.38	0.335	0.461	-0.069
3996		-0.679	-0.706	-0.864	-0.41	-0.467
3997	DATF1	-0.267	-0.428	-0.231	0.167	-0.267
3998		-1.227	-0.665	-2.036	-0.926	-1.338
3999	BOC	-0.195	-0.396	-0.179	-0.383	-0.197
4000		-0.177	-0.164	-0.242	-0.29	-0.151
4001		-0.933	-0.458	-0.874	-0.902	-0.823
4002	MGC2744	0.179	0.086	-0.036	-0.081	0.087
4003		-0.702	-0.665	-0.562	-0.241	-0.33
4004	KIAA0914	-0.499	-0.627	-0.836	-0.209	-0.43
4005	TERF2IP	-0.902	-1.187	-1.02	-0.979	-0.86
4006		-0.974	-0.783	-0.963	-0.366	-1.563
4007		-0.557	-0.553	-0.561	-0.483	-0.699
4008	DNAJC3	0.059	0.295	0.103	1.109	0.208
4009		-0.068	0.233	0.226	-0.258	0
4010		-0.157	0.539	-0.179	0.148	-0.114
4011		-0.222	-0.057	-0.06	-0.298	0.023
4012	M96	-0.223	0.256	-0.015	-0.327	-0.111
4013		-0.018	0.084	0.2	-0.08	-0.161
4014	FLJ21128	0.126	0.469	0.919	0.745	0.314
4015		-0.49	-0.206	-0.362	-0.252	-0.374
4016	CLLD8	-0.474	-0.53	-0.278	-0.129	-0.249
4017		0.241	0.166	1.746	0.633	0.741
4018	SIP1	-0.406	-0.143	-0.219	-0.148	-0.643
4019	PIGS	0.288	0.506	0.235	0.263	0.226
4020		0.22	0.517	0.606	0.297	0.187
4021	NDUFA10	0.133	0.233	0.089	0.106	-0.032
4022		-0.257	0.058	-0.133	-0.275	-0.044
4023	C5orf7	-0.267	-0.157	-0.14	0.047	-0.084
4024		-0.235	-0.077	-0.032	0.213	0.317
4025		-0.623	-0.107	-0.565	-0.49	-0.272
4026		-0.396	-0.252	-0.364	-0.22	-0.319
4027	NXP-2	-0.173	-0.193	-0.007	-0.116	-0.058
4028	BST1	-0.743	-0.288	-0.328	-0.625	-0.304
4029		-0.591	-0.516	-0.469	-0.52	-0.36
4030	UBE4B	0.083	0.016	0.093	-0.221	-0.175
4031	ANKH	0.231	0.185	0.148	-0.047	-0.095
4032		0.106	0.196	0.123	-0.076	-0.005
4033	PK428	-0.744	-0.696	-0.663	-0.602	-0.685
4034	RNASE6	-0.466	-0.445	-0.538	-0.359	-0.287
4035	PTPRU	0.214	-0.16	-0.466	-0.983	-0.86
4036	RIN1	-0.176	-0.066	-0.219	-0.12	-0.16
4037	NMA	0.088	-0.297	-0.552	-0.593	-0.43
4038	SLC16A5	0.053	0.259	0.171	-0.226	-0.125
4039	KNSL6	-0.024	0	-0.153	-0.288	-0.271
4040	MAGP2	-0.568	-0.383	-0.211	-0.396	-0.29
4041		0.142	0.138	0.112	-0.168	-0.325
4042	HEM1	-0.369	-0.261	-0.224	-0.151	-0.08
4043	MFNG	-0.046	-0.117	0.61	-0.146	-0.046
4044	ZPBP	-1.152	-1.028	-0.569	-0.639	-0.605
4045	OAZIN	0.077	0.209	0.074	-0.041	-0.027
4046	SYCP1	-0.788	0.036	-0.63	-0.662	-0.514
4047	RGS5	0.551	-0.307	-0.446	0.62	1.303
4048	KIAA0417	-0.581	-0.038	-0.131	0.102	-0.101
4049	CYLN2	0.231	0.207	0.567	0.532	0.456
4050	PTPRT	-0.124	-0.053	-0.013	-0.233	-0.178
4051		-0.247	-0.058	-0.086	-0.157	-0.067
4052	DOK1	0.214	0.044	0.1	-0.07	0.217
4053		-0.029	-0.025	-0.031	-0.035	-0.126
4054	SDFR1	0.22	0.457	0.449	0.669	0.185
4055	C1orf21	-0.135	0.172	0.132	0.183	0.132
4056		-0.059	-0.041	-0.591	-0.705	-0.498
4057	CD1C	-0.564	-0.262	-0.264	-0.239	-0.27
4058	CEBPG	-0.098	-0.287	0.252	0.312	-0.11
4059	CEACAM5	0.378	-0.021	0.22	0.246	0.149
4060		0.353	0.41	0.457	0.403	0.305
4061	CAPN1	0.559	0.597	0.477	0.484	0.322
4062	CALB1	-0.45	-0.316		-0.186	-0.47
4063	ALPP	-0.533	-0.101	0.122	-0.661	-0.706
4064	ALDH1A3	0.025	0.053	-0.072	-0.234	-0.048
4065	ALDH1A1	-0.069	-0.013	0.204	-0.231	-0.305
4066	SPHK2	0.08	-0.387	-0.455	-0.637	-0.21
4067	AGER	0.051	-0.004	0.268	-0.184	-0.064
4068	AMPD1	-0.74	-0.424	-0.148	-0.427	-0.213
4069	NOTCH3	-0.224	-0.378	0.097	-0.265	-0.155
4070		-0.18	-0.383	-0.346	-0.306	-0.196
4071	LOC121512	-0.123	-0.309	-0.275	-0.248	-0.309
4072	HTPAP	-0.063	0.192	-0.086	-0.204	-0.131
4073	LOC92305	0.037	-0.266	-0.432	-0.971	-0.431
4074		0.241	0.01	0.017	-0.095	0.083
4075	WISP1	-0.127	-1.228	-0.077	0.119	-0.032
4076		0.081	0.391	0.128	0.23	0.27
4077	eIF2a	0.009	0.215	-0.105	0.003	-0.052
4078		0.248	0.413	-0.031	0.262	0.238
4079		0.145	0.193	0.429	0.358	0.274
4080	HMGN3	0.145	0.151	-0.12	-0.524	-0.55
4081		-1.415	-2.069	-1.679	-1.624	-1.735
4082		-1.363	-2.033	-1.652	-1.739	-1.424
4083		-0.813	-1.646	-1.372	-1.538	-1.359
4084		-1.479	-1.973	-2.003	-1.728	-1.761
4085		-0.986	-1.559	-1.45	-1.337	-1.243
4086		-0.768	-1.289	-0.819	-0.527	-0.735
4087	ZDHHC3	0.196	-0.089	0.078	-0.041	0.028
4088	DNLC2A	0.012	-0.218	1.477	0.858	-0.265
4089	KIAA1500	0.325	-0.578	-0.599	-0.974	-1.325
4090		-1.535	-2.037	-2.005	-1.968	-1.705
4091		-1.059	-2.048	-1.933	-1.448	-1.724
4092		-0.94	-1.708	-1.636	-1.48	-1.644
4093		-0.607	-0.458	-0.176	-0.443	-0.821
4094	KIAA0999	-0.385	-0.778	-0.557	-0.455	-0.721
4095	CTBP2	-0.373	-0.672	-0.533	-0.343	-0.641
4096	FLJ21324	0.052	-0.468	-0.308	-0.432	-0.362
4097	TIGD3	-1.166	-1.546	-1.182	-1.151	-1.233
4098	UACA	-0.052	-0.061	-0.258	-0.643	-0.791
4099	DCTN4	-0.115	-0.198	-0.174	0.218	-0.247
4100		-0.085	-0.158	-0.197	-0.305	-0.245
4101		-1.015	-1.407	-1.132	-1.237	-1.22
4102	PF20	-0.633	-1.006	-1.109	-0.835	-1.188
4103	GTL3	-0.073	-0.281	-0.239	-0.549	-0.54
4104	RAB1A	-0.351	-0.954	-0.85	-0.427	-0.811
4105		0.782	0.198	-0.06	-0.542	-0.335
4106		-0.319	0.033	-0.11	-0.297	-0.092
4107		-0.11	-0.014	-0.193	-0.368	0.023
4108		-0.213	0.217	-0.147	0.056	-0.156
4109	DKFZP564G092	0.006	0.048	0.023	0.048	-0.019
4110	PC326	0.283	0.501	0.488	0.582	0.366
4111	FLJ20344	0.094	0.005	0.13	0.316	0.066
4112	LOC51128	0.062	0.528	0.699	0.533	0.489
4113	MDS009	0.018	0.134	-0.207	0.042	0.083
4114		0.369	0.068	-0.099	-0.196	-0.04
4115	FLJ13409	-0.428	-0.04	-0.119	0.104	-0.084
4116	NS1-BP	0.161	0.182	-0.037	-0.372	-0.02
4117	AGRN	0.407	0.042	0.248	-0.201	0.028
4118		0.097	0.134	0.386	0.206	0.077
4119	YARS	0.02	0.005	-0.004	-0.036	-0.443
4120	TK2	-0.033	0.261	0.166	0.012	-0.018
4121		0.107	0.249	-0.123	-0.456	-0.43
4122	TSGA	0.022	0.009	0.328	0.538	-0.034
4123		0.216	0.15	0.399	0.365	0.394
4124		-0.347	0.143	0.064	0.415	0.061
4125	FLJ34231	-0.119	-0.111	-0.369	-0.35	-0.228
4126	LOC51058	0.148	0.037	-0.124	-0.231	0.051
4127	ATP6V1G1	0.13	0.117	0.168	-0.001	0.225
4128	MGC16703	0.214	-0.059	-0.163	-0.484	-0.304
4129	DACH	-0.228	0.097	0.215	0.116	0.074
4130		-0.081	0.179	-0.015	-0.274	-0.081
4131	BT-IgSF	-0.082	0.311	0.091	-0.078	0.061
4132	KIAA1042	0.323	0.245	0.007	-0.086	0.097
4133	VAPA	-0.222	0.343	0.192	-0.125	-0.066
4134	RAP2A	0.317	0.708	0.573	1.307	0.739
4135		-0.047	-0.121	0.114	0.031	0.011
4136		0.089	0.044	-0.301	0.04	0.043
4137	N4WBP5	-0.33	0.238	0.12	-0.08	0.008
4138	FLJ14547	-0.032	0.186	-0.057	-0.173	0.057
4139		-0.269	-0.124	-0.096	-0.103	-0.105
4140		-0.011	0.148	0.016	-0.051	-0.15
4141		0.275	0.32	0.141	0.218	0.125
4142	MGC5306	0.236	0.521	0.411	0.204	0.401
4143	PCDHA10	-0.731	-0.246	-0.348	-0.277	-0.406
4144		-0.065	-0.064	0.102	0.01	-0.128
4145		-0.208	-0.134	0.12	-0.389	-0.163
4146	FLJ20360	-0.017	0.404	0.289	-0.123	-0.015
4147	ZNF336	-0.182	-0.178	-0.177	-0.115	-0.109
4148	DAB2IP	0.151	0.124	-0.157	0.182	0.324
4149	NCOA6IP	0.099	0.359	0.354	0.463	0.296
4150	KIAA1223	0.114	-0.032	0.033	-0.347	-0.146
4151		-0.071	0.119	-0.114	-0.112	-0.096
4152		-0.188	-0.177	-0.071	-0.319	-0.258
4153		-0.858	-1.377	-1.247	-1.221	-0.95
4154		-0.734	-1.143	-0.791	-0.758	-0.858
4155	GPR88		-1.749	-1.593	-1.664	-1.581
4156			-2.062	-1.761	-1.812	-1.836
4157		-0.35	-1.422	-1.226	-0.798	-1.001
4158		-0.731	-0.633	-0.616	-0.945	-1.02
4159		-1.756	-2.298	-2.111	-1.86	-2.377
4160		-1.977	-1.915	-1.572	-1.29	-1.44
4161		-1.31	-1.511	-1.172	-1.136	-1.255
4162	MGC34837	-1.394	-1.444	-1.175	-1.22	-1.211
4163		-1.564	-1.15	-1.148	-1.04	-1.344
4164		-2.026	-1.04	-1.107	-1.062	-0.846
4165		-0.415	0.39	-0.919	1.322	1.132
4166		-0.236	-0.558	-0.552	-0.104	-0.192
4167		-1.349	-0.77	-1.599	-1.49	-1.452
4168	MGC40499	-0.098	-0.33	-0.753	-0.865	-0.295
4169		-0.097	-0.158	-0.443	-0.47	-0.759
4170	GFRA3	-0.643	-0.241	-0.312	-0.458	-0.41
4171		-0.721	-0.023	-1.188	-0.69	-0.523
4172		0.01	-0.303	-0.897	-1.324	-1.64
4173	DVS27	-0.185	1.147	-1.441	1.091	0.822
4174	N6AMT1	-1.013	-1.49	-1.689	-0.746	-0.546
4175		-1.044	-0.721	-1.352	-0.535	-0.87
4176	PDE4DIP	-0.707	-0.979	-1.325	-0.553	-0.87
4177		-0.147	-0.195	-0.241	-0.314	-0.341
4178	FLJ20038	-0.194	0.342	0.51	0.512	0.192
4179	FLJ10853	0.014	0.269	-0.128	-0.25	-0.014
4180	FER1L4	-0.146	0.032	-0.025	0.042	0.008
4181		-0.343	-0.151	-0.137	-0.115	-0.363
4182		0.118	0.284	0.177	-0.143	-0.256
4183		0.03	0.196	0.066	-0.017	0.098
4184	LOC152399	0.214	-0.06	0.03	0.317	0.216
4185		-0.367	-0.486	-0.57	-0.375	-0.734
4186	YME1L1	0.065	0.166	0.127	0.032	0.046
4187	FARP1	-0.429	0.11	-0.17	0.085	-0.301
4188	MGC19556	0.061	0.635	0.425	0.185	0.083
4189		-1.161	-0.263	-0.445	-0.314	-0.328
4190			-0.309	-0.641	-0.518	-0.527
4191	PAGE-5	0.706	-0.502	-0.607	-0.644	-0.494
4192			-0.658	-0.438	-0.682	-0.595
4193		-0.531	-0.029	-0.005	-0.143	-0.186
4194	CDGAP	-0.802	-0.509	-0.448	-0.531	-0.31
4195		-0.564	-0.418	-0.478	-0.524	-0.185
4196		-1.133	-0.507	-0.559	-0.752	-0.472
4197	DUT	0.094	0.087	-0.021	-0.038	-0.273
4198		-0.212	0.878	-0.354	0.098	0.327
4199	FLJ20909	-0.248	-0.194	-0.489	-0.871	-0.473
4200		-0.727	-0.123	-0.358	-0.073	-0.205
4201	GPD2	-0.052	0.237	0.003	-0.115	-0.288
4202	SSBP4	0.111	-0.141	-0.238	-0.528	-0.231
4203		0.14	-0.265	-0.265	-0.51	-0.403
4204	FLJ21616	0.181	0.044	0.011	-0.157	-0.067
4205		-0.736	-0.603	-0.756	-0.308	-0.614
4206		0.24	0.091	0.074	0.238	0.249
4207		-0.158	-0.016	-0.111	-0.019	-0.153
4208		-0.607	-0.588	-0.645	-0.373	-0.351
4209		-0.516	-0.776	-1.134	0.053	-0.505
4210		0.02	0.308	-0.018	0.11	-0.175
4211		0.098	-0.019	-0.081	0.182	0.064
4212	FLJ20651	0.206	0.234	0.022	-0.038	0.034
4213		-0.032	0.09	0.144	-0.273	-0.061
4214		-0.104	0.016	0.232	-0.012	0.067
4215	RAB4A	-0.061	0.086	-0.03	-0.235	-0.31
4216		-0.354	-0.549	-0.383	-0.541	-0.482
4217		-0.181	-0.092	0.021	0.016	-0.15
4218		-0.399	-0.499	-0.394	-0.335	-0.259
4219		-0.521	-0.218	-0.125	-0.388	-0.305
4220		0.051	0.106	-0.1	0.221	0.323
4221		0.177	0.261	-0.296	-0.235	-0.224
4222	C6orf37	0.167	0.426	0.321	1.476	0.629
4223	SPEC1	0.164	0.179	0.244	0.205	0.166
4224		-0.31	-0.02	-0.336	-0.358	-0.244
4225		-0.141	0.089	0.001	-0.104	-0.088
4226		-0.629	0.197	-0.32	-0.355	-0.387
4227		0.005	0.744	-0.037	-0.063	0.026
4228		-0.054	0.3	0.079	-0.057	-0.07
4229		-0.054	0.388	0.037	-0.006	-0.042
4230		0.177	0.147	0.021	-0.171	-0.306
4231	FLJ22548	-0.202	-0.129	0.407	0.743	-0.094
4232		-0.735	-0.35	-0.352	-0.268	-0.468
4233		-1.041	-0.325	-0.439	-0.192	-0.217
4234		-0.888	-0.555	-0.498	0.122	-0.324
4235	CLCN3	-0.698	-0.453	-0.544	-0.269	-0.447
4236		-0.682	-0.589	-0.51	-0.212	-1.696
4237		-0.279	-0.133	-0.063	-0.027	-0.265
4238		-0.444	-0.277	-0.328	-0.368	-0.481
4239	MGC4677	0.094	0.138	-0.872	-0.099	-0.112
4240		-0.472	-0.242	-0.173	-0.197	-0.152
4241		-0.49	0.03	-0.378	-0.02	-0.326
4242		-0.269	-0.092	-0.394	0.111	-0.168
4243		-0.238	0.051	0.071	-0.173	0.082
4244		0.004	0.007	-0.085	-0.066	0.014
4245	KIAA1387	0.156	0.503	0.095	0.325	0.145
4246	TF	-0.079	-0.009	0.004	-0.004	0.049
4247	MRPL33	0.215	0.049	0.034	-0.253	0.013
4248		0.173	0.142	-0.013	-0.397	-0.247
4249	ZNF131	0.117	0.23	0.093	0.081	0.058
4250	MRRF	0.081	0.281	0.194	0.113	0.19
4251	TRPM1	-0.218	0.012	0.053	-0.014	0.128
4252	TIAM2	0.215	0.1	-0.034	-0.132	-0.445
4253	STARD13	0.132	0.097	0.009	0.033	0.255
4254	CASKIN1	0.141	0.346	0.127	0.107	0.203
4255		-0.234	-0.188	-0.15	-0.177	-0.1
4256	VIK	0.048	0.214	0.277	0.125	0.002
4257	WNT6	0.037	-0.653	-0.29	-0.493	-0.232
4258	UBAP2	-0.106	0.046	0.069	-0.175	-0.211
4259	IPT	-0.243	0.502	0.371	0.183	-0.014
4260	FLJ14909	-0.221	0.271	-0.274	-0.44	-0.201
4261	NUP210	-0.1	-0.047	0.022	-0.092	-0.049
4262		0.256	0.469	0.235	-0.038	0.051
4263		0.042	0	0.001	0.357	0.059
4264		-0.383	0.147	-0.449	0.028	-0.09
4265	LOC123872	0.005	0.169	0.023	-0.134	-0.174
4266	KIAA1798	-0.872	1.855	0.916	1.112	0.696
4267		0.305	0.089	0.021	0.251	0.571
4268	MX1	-0.442	0.122	-0.312	0.42	-0.216
4269	DKFZp761J1523	-0.777	0.177	-0.26	-0.355	-0.101
4270	C1orf13	0.123	0.041	-0.029	-0.195	-0.236
4271		0.251	0.071	0.469	0.422	0.152
4272		-0.447	-0.367	-0.378	-0.266	-0.622
4273	KIAA0721	-0.057	0.187	0.136	0.065	-0.127
4274	EEF1A1	0.046	0.615	0.483	0.32	0.165
4275		-0.137	0.029	-0.034	0.089	0.161
4276	DRCTNNB1A	-0.469	-0.03	-0.195	0.379	0.226
4277		0.172	0.331	0.271	-0.169	0.035
4278	CHD3	0.11	0.025	-0.073	-0.2	-0.124
4279		-0.102	-0.088	-0.02	-0.205	-0.035
4280	KRT6IRS	-0.024	0.032	-0.158	-0.167	0.056
4281		-0.223	0.075	-0.018	-0.035	0.046
4282	CKLF1	0.129	0.113	-0.101	-0.32	0.069
4283		0.225	0.097	-0.137	-0.111	-0.103
4284	TEM7R	-0.962	0.612	0.77	0.471	0.029
4285		-0.147	-0.051	0.897	0.656	0.306
4286		-0.237	0.176	0.062	-0.008	-0.04
4287		-0.006	0.098	0.082	-0.141	-0.148
4288	PILR(BETA)	0.205	0.7	0.351	0.352	0.37
4289		-0.157	-0.038	-0.122	-0.101	-0.24
4290		-0.19	0.11	-0.155	-0.397	-0.027
4291		-0.597	0.093	0.084	0.013	-0.061
4292	CHM-I	-0.438	-0.005	-0.064	-0.148	-0.348
4293	LOC51326	-0.226	0.15	0.066	0.068	-0.186
4294		-0.507	0.525	-0.388	0.184	0.492
4295		-0.206	0.271	-0.064	-0.122	-0.04
4296	CRSP2	-0.302	0.592	0.086	-0.021	-0.27
4297	EFA6R	0.012	0.306	0.154	-0.466	-0.089
4298		-0.163	0.216	0.106	0.057	0.063
4299	KIAA0863	-0.041	0.198	0.129	-0.196	-0.17
4300	MGC26706	-0.126	0.254	-0.032	0.109	0.101
4301		-1.335	-0.115	-1.014	-0.948	-0.995
4302	DKK1	-0.051	-0.352	-2.124	-2.532	-2.236
4303		-0.159	0.457	-0.181	-0.184	-0.171
4304		-0.73	0.103	-0.483	-0.191	-0.248
4305	HSCARG		0.323	-0.325	-0.439	-0.137
4306		-0.039	0.904	-0.731	0.273	0.24
4307		-0.174	0.239	0.017	-0.117	-0.024
4308		0.016	0.038	-0.187	-0.168	-0.007
4309	TNNT1	0.097	2.332	1.496	0.937	2.103
4310	SOX3	-0.005	0.37	0.146	0.183	-0.03
4311	LIMK2	-0.138	0.31	-0.01	-0.28	-0.241
4312	IRF7	0.648	-0.39	0.001	-0.119	-0.043
4313	RGS6	0.218	0.008	0.147	-0.097	-0.207
4314	VIL1	0.061	0.736	0.651	1.053	1.201
4315	UTX	0.051	0.202	0.499	1.053	0.27
4316	ALDOB	-0.023	0.621	0.538	0.48	0.456
4317	APAF1	0.08	0.077	0.015	0.465	0.467
4318	PSCD3	-0.166	0.263	-0.384	-0.208	-0.382
4319		0.025	0.487	-0.105	-0.014	-0.31
4320	PLCD1	0.98	2.836	-0.199	0.741	1.456
4321	AKAP5	0.152	0.08	-0.159	-0.222	-0.336
4322	PSMD8	0.081	0.158	0.227	-0.05	-0.096
4323	NT5E	0.49	0.142	0.141	0.029	0.091
4324	LMOD1	-0.174	0.174	0.075	0.053	-0.165
4325	HMGCL	0.333	0.26	0.316	0.178	0.205
4326	ADCY2	-0.019	0.056	0.018	0.013	-0.065
4327	RPL30	0.148	0.376	0.228	-0.044	-0.173
4328	HPD	-0.035	0.186	-0.2	-0.133	-0.297
4329	TACC3	-0.013	-0.177	-0.473	-0.593	-0.319
4330	SIN3B	0.116	-0.022	0.347	-0.048	0.097
4331		0.024	0.437	-0.261	0.037	-0.041
4332		0.324	0.524	0.012	0.714	0.506
4333	FLJ10898	0.114	0.184	-0.167	-0.149	-0.103
4334	FLJ12649	-0.039	-0.109	-0.386	-0.394	-0.032
4335	CLDN1	-0.243	0.195	0.212	0.761	0.21
4336	KIAA0701	-0.044	0.302	0.042	0.296	0.027
4337		0.04	0.359	-0.205	-0.023	0.187
4338		0.175	0.209	0.118	0.101	0.109
4339		0.202	0.042	0.147	-0.167	0.008
4340		-0.606	0.265	0.078	0.346	-0.228
4341	LOC51128	0.057	0.274	0.325	0.223	0.257
4342		-0.349	-0.188	-0.48	-0.647	-0.505
4343	KIAA0680	-0.142	0.214	0.015	0.365	-0.136
4344	GJA5	-0.613	-0.457	-0.488	-0.427	-0.613
4345		-0.09	1.054	-0.616	-0.609	0.224
4346	CLASP2	0.028	0.596	0.369	0.734	0.121
4347	SLC17A5	-0.198	-0.076	-0.157	-0.498	-0.134
4348		0.208	0.276	0.146	0.502	-0.042
4349		-0.136	0.564	-0.286	0.227	0.149
4350		-0.338	0.595	0.358	0.307	0.092
4351	KIAA1165	0.113	0.502	0.498	0.61	0.23
4352	LAMB1	-0.104	-0.228	-0.405	-0.668	-0.342
4353		-0.005	-0.003	-0.087	0	-0.186
4354	KIAA1796	-0.448	0.092	-0.23	0.543	-0.887
4355	ARS2	0.378	0.467	0.368	0.641	0.116
4356	RERE	0.135	0.082	0.28	0.133	0.162
4357	NCF2	-1.824	-1.734	-1.682	-1.646	-1.325
4358	APM2	-0.901	-1	-1.028	-1.169	-0.748
4359	FLJ14825	-2.394	-1.876	-1.916	-2.357	-2.32
4360	PRKCBP1	-1.071	-2.155	-1.958	-2.116	-1.427
4361	TIEG	-0.492	-0.598	-0.486	-0.478	-0.386
4362	TIMP1	0.431	0.054	0.097	0.026	0.25
4363	SNX17	-1.143	-1.5	-1.135	-1.033	-1.099
4364		-2.804	-1.659	-2.527	-2.605	-2.36
4365	TFRC	-0.288	-0.529	-0.398	-0.422	-0.625
4366		-0.657	-0.98	-1.139	-1.191	-0.763
4367	ESR1	-1.259	-1.454	-1.214	-1.155	-1.145
4368	CDH13	-1.135	-1.26	-1.357	-1.334	-1.011
4369		-0.033	0.613	2.274	5.159	5.687
4370		-1.285	0.66	1.049	-1.541	1.848
4371		0.228	1.632	0.059		0.558
4372		5.358	0.112	-0.294	-1.281	
4373		1.585	3.668	-0.925	1.912	0.821
4374		-1.778	-0.531	-0.725	-1.763	-0.702
4375			-0.233	-1.822	-2.052	
4376		0.807		-0.44		2.17
4377		2.619		0.171	2.1	0.531
4378		-0.684	-0.228	-2.523	-0.509	-0.504
4379		-3.539	-0.318	-2.697	1.459	-0.733
4380		-1.498	0.399	-3.914	-1.461	-0.707
4381		0.379	0.858	0.758	0.888	0.579
4382	FLJ21939	-0.043	0.23	0.229	0.343	0.108
4383		0.017	1.28	1.407		0.843
4384	TEX292	0.191	0.494	0.307	-0.274	0.056
4385		0.03	0.378	0.091	0.005	-0.381
4386		-0.407	0.047	-0.01	0.081	-0.725
4387	SEMG1	-0.177	0.116	0.005	0.087	-0.041
4388	LOC93109	0.321	0.109	0.825	1.087	1.263
4389	MGC2747	0.303	0.19	0.134	-0.003	-0.101
4390		0.002	0.736	0.21	0.127	-0.057
4391	MGC45586	0.311	0.783	0.544	0.6	0.296
4392		-0.277	0.603	0.115	0.225	0.29
4393		0.023	0.282	0.168	0.151	0.213
4394		-0.272	1.179	0.372	0.853	0.205
4395		-0.417	-0.208	-0.342	-0.389	-0.245
4396		-0.234	0.041	0.022	-0.077	0.075
4397	FLJ20356	-0.192	2.104	-0.042	-0.365	-0.154
4398	HCFC1	-0.28	-0.791	-0.048	-0.654	-0.513
4399	N33	-0.589		-0.47	0.02	-0.229
4400		0.116		0.093	0.388	0.471
4401		-0.108	0.555	-0.029	0.051	0.1
4402		-0.251	0.35	-0.337	0.175	0.308
4403		-0.488	0.305	-0.095	-0.195	-0.099
4404		-0.171	0.19	-0.016	0.197	0.466
4405		-0.585	0.135	-0.218	-0.062	-0.247
4406		-0.472	-0.094	0.013	0.365	-0.499
4407	FLJ12975	-0.379	0.328	-0.015	0.21	-0.061
4408		-0.169	-0.016	-0.112	-0.02	-0.019
